,Unnamed: 0,year,rank,song,artist
4560,4560,2005,62,Give A Little Bit,Goo Goo Dolls
4561,4561,2005,63,Mr. Mom,Lonestar
4562,4562,2005,64,Party For Two,Shania Twain With Billy Currington Or Mark McGrath
4563,4563,2005,65,Monday Morning Church,Alan Jackson
4564,4564,2005,66,Somebody Told Me,The Killers
4565,4565,2005,67,Rich Girl,Gwen Stefani Featuring Eve
4566,4566,2005,68,1985,Bowling For Soup
4567,4567,2005,69,Some Cut,Trillville Featuring Cutty
4568,4568,2005,70,Tempted To Touch,Rupee
4569,4569,2005,71,I Changed My Mind,Keyshia Cole Featuring Shyne
4570,4570,2005,72,Caught Up,Usher
4571,4571,2005,73,He Gets That From Me,Reba McEntire
4572,4572,2005,74,Mockingbird,Eminem
4573,4573,2005,75,Holy Water,Big & Rich
4574,4574,2005,76,Vitamin R (Leading Us Along),Chevelle
4575,4575,2005,77,You're The One,Guerilla Black Featuring Mario Winans
4576,4576,2005,78,Fall To Pieces,Velvet Revolver
4577,4577,2005,79,So Cold,Breaking Benjamin
4578,4578,2005,80,Come Home Soon,SHeDAISY
4579,4579,2005,81,Cold,Crossfade
