,Unnamed: 0,year,rank,song,artist
420,420,1964,21,I'm Leaving It Up To You,Dale & Grace
421,421,1964,22,Loddy Lo,Chubby Checker
422,422,1964,23,Kansas City,Trini Lopez
423,423,1964,24,Can I Get A Witness,Marvin Gaye
424,424,1964,25,Everybody,Tommy Roe
425,425,1964,26,That Lucky Old Sun,Ray Charles
426,426,1964,27,Turn Around,Dick and DeeDee
427,427,1964,28,When The Lovelight Starts Shining Through His Eyes,The Supremes
428,428,1964,29,For Your Precious Love,Garnet Mimms & The Enchanters
429,429,1964,30,Have You Heard,The Duprees featuring Joey Vann
430,430,1964,31,Somewhere,The Tymes
431,431,1964,32,Anyone Who Had A Heart,Dionne Warwick
432,432,1964,33,Out Of Limits,The Marketts
433,433,1964,34,Need To Belong,Jerry Butler
434,434,1964,35,Hey Little Cobra,The Rip Chords
435,435,1964,36,I Have A Boyfriend,The Chiffons
436,436,1964,37,In My Room,The Beach Boys
437,437,1964,38,Stewball,"Peter, Paul & Mary"
438,438,1964,39,I Gotta Dance To Keep From Crying,The Miracles
439,439,1964,40,Daisy Petal Pickin',Jimmy Gilmer And The Fireballs
