,Unnamed: 0,year,rank,song,artist
2000,2000,1980,2,Escape (The Pina Colada Song),Rupert Holmes
2001,2001,1980,3,Rock With You,Michael Jackson
2002,2002,1980,4,Send One Your Love,Stevie Wonder
2003,2003,1980,5,Do That To Me One More Time,Captain & Tennille
2004,2004,1980,6,Babe,Styx
2005,2005,1980,7,Still,Commodores
2006,2006,1980,8,Coward Of The County,Kenny Rogers
2007,2007,1980,9,Ladies Night,Kool & The Gang
2008,2008,1980,10,We Don't Talk Anymore,Cliff Richard
2009,2009,1980,11,Cool Change,Little River Band
2010,2010,1980,12,Cruisin',Smokey Robinson
2011,2011,1980,13,The Long Run,Eagles
2012,2012,1980,14,Head Games,Foreigner
2013,2013,1980,15,Better Love Next Time,Dr. Hook
2014,2014,1980,16,Jane,Jefferson Starship
2015,2015,1980,17,I Wanna Be Your Lover,Prince
2016,2016,1980,18,This Is It,Kenny Loggins
2017,2017,1980,19,I Want You Tonight,Pablo Cruise
2018,2018,1980,20,You're Only Lonely,J.D. Souther
2019,2019,1980,21,No More Tears (Enough Is Enough),Barbra Streisand/Donna Summer
