,Unnamed: 0,year,rank,song,artist
3260,3260,1992,62,I'm Too Sexy,Right Said Fred
3261,3261,1992,63,Uhh Ahh,Boyz II Men
3262,3262,1992,64,Live And Let Die,Guns N' Roses
3263,3263,1992,65,Just A Touch Of Love,C+C Music Factory Presents Zelma Davis
3264,3264,1992,66,The Comfort Zone,Vanessa Williams
3265,3265,1992,67,I Want You,Jody Watley
3266,3266,1992,68,Whispers,Corina
3267,3267,1992,69,Ain't No Future In Yo' Fronting,M.C. Breed & D.F.C.
3268,3268,1992,70,There Will Never Be Another Tonight,Bryan Adams
3269,3269,1992,71,No More Tears,Ozzy Osbourne
3270,3270,1992,72,To Be With You,Mr. Big
3271,3271,1992,73,A Day In My Life (Without You),Lisette Melendez
3272,3272,1992,74,In Paradise,Laissez Faire
3273,3273,1992,75,I'll Get By,Eddie Money
3274,3274,1992,76,Pop That Coochie,The 2 Live Crew
3275,3275,1992,77,Groovy Train,The Farm
3276,3276,1992,78,Stay,Jodeci
3277,3277,1992,79,Insatiable,Prince And The N.P.G.
3278,3278,1992,80,Within My Heart,Voyce
3279,3279,1992,81,Every Road Leads Back To You,Bette Midler
