,Unnamed: 0,year,rank,song,artist
4000,4000,2000,2,Back At One,Brian McKnight
4001,4001,2000,3,I Wanna Love You Forever,Jessica Simpson
4002,4002,2000,4,My Love Is Your Love,Whitney Houston
4003,4003,2000,5,I Knew I Loved You,Savage Garden
4004,4004,2000,6,I Need To Know,Marc Anthony
4005,4005,2000,7,Hot Boyz,"Missy ""Misdemeanor"" Elliott Featuring NAS, EVE & Q-Tip"
4006,4006,2000,8,U Know What's Up,Donell Jones
4007,4007,2000,9,Bring It All To Me,Blaque
4008,4008,2000,10,Girl On TV,LFO
4009,4009,2000,11,What A Girl Wants,Christina Aguilera
4010,4010,2000,12,24/7,Kevon Edmonds
4011,4011,2000,13,Blue (Da Ba Dee),Eiffel 65
4012,4012,2000,14,Then The Morning Comes,Smash Mouth
4013,4013,2000,15,He Can't Love U,Jagged Edge
4014,4014,2000,16,Waiting For Tonight,Jennifer Lopez
4015,4015,2000,17,That's The Way It Is,Celine Dion
4016,4016,2000,18,The Christmas Song (Chestnuts Roasting On An Open Fire),Christina Aguilera
4017,4017,2000,19,Dancin',Guy
4018,4018,2000,20,Steal My Sunshine,Len
4019,4019,2000,21,Get It On Tonite,Montell Jordan
