,Unnamed: 0,year,rank,song,artist
4640,4640,2006,42,Shake It Off,Mariah Carey
4641,4641,2006,43,Georgia,Ludacris & Field Mob Featuring Jamie Foxx
4642,4642,2006,44,We Belong Together,Mariah Carey
4643,4643,2006,45,Must Be Doin' Somethin' Right,Billy Currington
4644,4644,2006,46,Nasty Girl,"The Notorious B.I.G. Featuring Diddy, Nelly, Jagged Edge & Avery Storm"
4645,4645,2006,47,I Should Have Cheated,Keyshia Cole
4646,4646,2006,48,Better Days,Goo Goo Dolls
4647,4647,2006,49,Come A Little Closer,Dierks Bentley
4648,4648,2006,50,Tequila Makes Her Clothes Fall Off,Joe Nichols
4649,4649,2006,51,Window Shopper,50 Cent
4650,4650,2006,52,Girl Tonite,Twista Featuring Trey Songz
4651,4651,2006,53,Everytime We Touch,Cascada
4652,4652,2006,54,Shake That,Eminem Featuring Nate Dogg
4653,4653,2006,55,Unbreakable,Alicia Keys
4654,4654,2006,56,L.O.V.E.,Ashlee Simpson
4655,4655,2006,57,Boondocks,Little Big Town
4656,4656,2006,58,Like We Never Loved At All,Faith Hill
4657,4657,2006,59,She Let Herself Go,George Strait
4658,4658,2006,60,Hypnotize,System Of A Down
4659,4659,2006,61,Pump It,The Black Eyed Peas
