,Unnamed: 0,year,rank,song,artist
5860,5860,2018,62,Yours,Russell Dickerson
5861,5861,2018,63,I'll Name The Dogs,Blake Shelton
5862,5862,2018,64,The Race,Tay-K
5863,5863,2018,65,Eye 2 Eye,Huncho Jack Featuring Takeoff
5864,5864,2018,66,Look What You Made Me Do,Taylor Swift
5865,5865,2018,67,Kooda,6ix9ine
5866,5866,2018,68,Modern Slavery,Huncho Jack
5867,5867,2018,69,Thunder/Young Dumb & Broke (Medley),Imagine Dragons + Khalid
5868,5868,2018,70,Codeine Dreaming,Kodak Black Featuring Lil Wayne
5869,5869,2018,71,Black & Chinese,Huncho Jack
5870,5870,2018,72,Round Here Buzz,Eric Church
5871,5871,2018,73,Light It Up,Luke Bryan
5872,5872,2018,74,Echame La Culpa,Luis Fonsi & Demi Lovato
5873,5873,2018,75,Betrayed,Lil Xan
5874,5874,2018,76,Losing Sleep,Chris Young
5875,5875,2018,77,No Smoke,YoungBoy Never Broke Again
5876,5876,2018,78,Tell Me You Love Me,Demi Lovato
5877,5877,2018,79,You Broke Up With Me,Walker Hayes
5878,5878,2018,80,Ice Tray,Quavo & Lil Yachty
5879,5879,2018,81,I Could Use A Love Song,Maren Morris
