,Unnamed: 0,year,rank,song,artist
1820,1820,1978,22,My Way,Elvis Presley
1821,1821,1978,23,(Love Is) Thicker Than Water,Andy Gibb
1822,1822,1978,24,The Way I Feel Tonight,Bay City Rollers
1823,1823,1978,25,Sometimes When We Touch,Dan Hill
1824,1824,1978,26,"Dance, Dance, Dance (Yowsah, Yowsah, Yowsah)",Chic
1825,1825,1978,27,Gettin' Ready For Love,Diana Ross
1826,1826,1978,28,Stayin' Alive,Bee Gees
1827,1827,1978,29,Desiree,Neil Diamond
1828,1828,1978,30,Point Of Know Return,Kansas
1829,1829,1978,31,Don't Let Me Be Misunderstood,Santa Esmeralda Starring Leroy Gomez
1830,1830,1978,32,Isn't It Time,The Babys
1831,1831,1978,33,Native New Yorker,Odyssey
1832,1832,1978,34,Girls' School,Wings
1833,1833,1978,35,We're All Alone,Rita Coolidge
1834,1834,1978,36,Swingtown,The Steve Miller Band
1835,1835,1978,37,Emotion,Samantha Sang
1836,1836,1978,38,What's Your Name,Lynyrd Skynyrd
1837,1837,1978,39,(You're My) Soul And Inspiration,Donny & Marie Osmond
1838,1838,1978,40,Peg,Steely Dan
1839,1839,1978,41,Bloat On Featuring the Bloaters,Cheech & Chong
