,Unnamed: 0,year,rank,song,artist
3520,3520,1995,22,You Don't Know How It Feels,Tom Petty
3521,3521,1995,23,I'll Stand By You,Pretenders
3522,3522,1995,24,The Sweetest Days,Vanessa Williams
3523,3523,1995,25,Hold My Hand,Hootie & The Blowfish
3524,3524,1995,26,100% Pure Love,Crystal Waters
3525,3525,1995,27,"New Age Girl (From ""Dumb And Dumber"")",Deadeye Dick
3526,3526,1995,28,Every Day Of The Week,Jade
3527,3527,1995,29,"December 1963 (Oh, What A Night)",The 4 Seasons
3528,3528,1995,30,I Belong To You/How Many Ways,Toni Braxton
3529,3529,1995,31,Flava In Ya Ear,Craig Mack
3530,3530,1995,32,Living In Danger,Ace Of Base
3531,3531,1995,33,Be Happy,Mary J. Blige
3532,3532,1995,34,If You Love Me,Brownstone
3533,3533,1995,35,Thuggish Ruggish Bone,Bone Thugs-N-Harmony
3534,3534,1995,36,"What's The Frequency, Kenneth?",R.E.M.
3535,3535,1995,37,I Never Seen A Man Cry (aka I Seen A Man Die),Scarface
3536,3536,1995,38,Never Lie,Immature
3537,3537,1995,39,When Can I See You,Babyface
3538,3538,1995,40,Playaz Club,Rappin' 4-Tay
3539,3539,1995,41,"U Will Know (From ""Jason's Lyric"")",B.M.U. (Black Men United)
