,Unnamed: 0,year,rank,song,artist
5900,5900,2019,2,Without Me,Halsey
5901,5901,2019,3,All I Want For Christmas Is You,Mariah Carey
5902,5902,2019,4,Sicko Mode,Travis Scott
5903,5903,2019,5,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee
5904,5904,2019,6,High Hopes,Panic! At The Disco
5905,5905,2019,7,Happier,Marshmello & Bastille
5906,5906,2019,8,Jingle Bell Rock,Bobby Helms
5907,5907,2019,9,Rockin' Around The Christmas Tree,Brenda Lee
5908,5908,2019,10,A Holly Jolly Christmas,Burl Ives
5909,5909,2019,11,The Christmas Song (Merry Christmas To You),Nat King Cole
5910,5910,2019,12,Drip Too Hard,Lil Baby & Gunna
5911,5911,2019,13,It's The Most Wonderful Time Of The Year,Andy Williams
5912,5912,2019,14,Girls Like You,Maroon 5 Featuring Cardi B
5913,5913,2019,15,ZEZE,Kodak Black Featuring Travis Scott & Offset
5914,5914,2019,16,Rudolph The Red-Nosed Reindeer,Gene Autry
5915,5915,2019,17,Mo Bamba,Sheck Wes
5916,5916,2019,18,Wake Up In The Sky,Gucci Mane X Bruno Mars X Kodak Black
5917,5917,2019,19,Money,Cardi B
5918,5918,2019,20,"Let It Snow, Let It Snow, Let It Snow",Dean Martin
5919,5919,2019,21,Eastside,"benny blanco, Halsey & Khalid"
5920,5920,2019,22,Breathin,Ariana Grande
5921,5921,2019,23,Better Now,Post Malone
5922,5922,2019,24,Youngblood,5 Seconds Of Summer
5923,5923,2019,25,Last Christmas,Wham!
5924,5924,2019,26,Sleigh Ride,The Ronettes
5925,5925,2019,27,Lucid Dreams,Juice WRLD
5926,5926,2019,28,Here Comes Santa Claus (Right Down Santa Claus Lane),Gene Autry
5927,5927,2019,29,Feliz Navidad,Jose Feliciano
5928,5928,2019,30,Taki Taki,"DJ Snake Featuring Selena Gomez, Ozuna & Cardi B"
5929,5929,2019,31,MIA,Bad Bunny Featuring Drake
5930,5930,2019,32,(There's No Place Like) Home For The Holidays,Perry Como
5931,5931,2019,33,Leave Me Alone,Flipp Dinero
5932,5932,2019,34,White Christmas,Bing Crosby
5933,5933,2019,35,It's Beginning To Look A Lot Like Christmas,Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra
5934,5934,2019,36,Going Bad,Meek Mill Featuring Drake
5935,5935,2019,37,A Lot,21 Savage
5936,5936,2019,38,Trip,Ella Mai
5937,5937,2019,39,I Like It,"Cardi B, Bad Bunny & J Balvin"
5938,5938,2019,40,Blue Christmas,Elvis Presley
5939,5939,2019,41,Speechless,Dan + Shay
5940,5940,2019,42,Happy Xmas (War Is Over),John & Yoko/The Plastic Ono Band With The Harlem Community Choir
5941,5941,2019,43,Christmas (Baby Please Come Home),Darlene Love
5942,5942,2019,44,Underneath The Tree,Kelly Clarkson
5943,5943,2019,45,Run Rudolph Run,Chuck Berry
5944,5944,2019,46,Natural,Imagine Dragons
5945,5945,2019,47,Wow.,Post Malone
5946,5946,2019,48,Love Lies,Khalid & Normani
