,Unnamed: 0,year,rank,song,artist
200,200,1962,1,The Lion Sleeps Tonight,The Tokens
201,201,1962,2,The Twist,Chubby Checker
202,202,1962,3,Run To Him,Bobby Vee
203,203,1962,4,Peppermint Twist - Part I,Joey Dee & the Starliters
204,204,1962,5,Can't Help Falling In Love,Elvis Presley With The Jordanaires
205,205,1962,6,"Happy Birthday, Sweet Sixteen",Neil Sedaka
206,206,1962,7,Goodbye Cruel World,James Darren
207,207,1962,8,Walk On By,Leroy Van Dyke
208,208,1962,9,When I Fall In Love,The Lettermen
209,209,1962,10,Unchain My Heart,Ray Charles and his Orchestra
210,210,1962,11,When The Boy In Your Arms (Is The Boy In Your Heart),Connie Francis
211,211,1962,12,White Christmas,Bing Crosby
212,212,1962,13,Please Mr. Postman,The Marvelettes
213,213,1962,14,'Til,The Angels
214,214,1962,15,I Know (You Don't Love Me No More),Barbara George
215,215,1962,16,I Don't Know Why,Linda Scott
216,216,1962,17,Let There Be Drums,Sandy Nelson
217,217,1962,18,Revenge,Brook Benton
218,218,1962,19,Moon River,Henry Mancini And His Orchestra
219,219,1962,20,There's No Other (Like My Baby),The Crystals
