,Unnamed: 0,year,rank,song,artist
2960,2960,1989,62,All She Wants Is,Duran Duran
2961,2961,1989,63,Handle With Care,Traveling Wilburys
2962,2962,1989,64,"Yeah, Yeah, Yeah",Judson Spence
2963,2963,1989,65,Kissing A Fool,George Michael
2964,2964,1989,66,Forever Young,Alphaville
2965,2965,1989,67,Anchorage,Michelle Shocked
2966,2966,1989,68,If We Never Meet Again,Tommy Conwell And The Young Rumblers
2967,2967,1989,69,Red Red Wine,UB40
2968,2968,1989,70,Edge Of A Broken Heart,Vixen
2969,2969,1989,71,I Beg Your Pardon,Kon Kan
2970,2970,1989,72,"Hippy Hippy Shake (From ""Cocktail"")",The Georgia Satellites
2971,2971,1989,73,"Don't Worry, Be Happy (From ""Cocktail"")",Bobby McFerrin
2972,2972,1989,74,Peek-A-Boo,Siouxsie & The Banshees
2973,2973,1989,75,Symptoms Of True Love,Tracie Spencer
2974,2974,1989,76,"Wild Again (From ""Cocktail"")",Starship
2975,2975,1989,77,It's Money That Matters,Randy Newman
2976,2976,1989,78,Posse On Broadway,Sir Mix-A-Lot
2977,2977,1989,79,The Living Years,Mike + The Mechanics
2978,2978,1989,80,Doctorin' The Tardis,The Timelords
2979,2979,1989,81,Another Lover,Giant Steps
