,Unnamed: 0,year,rank,song,artist
4700,4700,2007,2,I Wanna Love You,Akon Featuring Snoop Dogg
4701,4701,2007,3,Fergalicious,Fergie
4702,4702,2007,4,Smack That,Akon Featuring Eminem
4703,4703,2007,5,My Love,Justin Timberlake Featuring T.I.
4704,4704,2007,6,Say It Right,Nelly Furtado
4705,4705,2007,7,How To Save A Life,The Fray
4706,4706,2007,8,We Fly High,Jim Jones
4707,4707,2007,9,Shortie Like Mine,Bow Wow Featuring Chris Brown & Johnta Austin
4708,4708,2007,10,Lips Of An Angel,Hinder
4709,4709,2007,11,It Ends Tonight,The All-American Rejects
4710,4710,2007,12,SexyBack,Justin Timberlake
4711,4711,2007,13,Walk It Out,Unk
4712,4712,2007,14,Promise,Ciara
4713,4713,2007,15,Money Maker,Ludacris Featuring Pharrell
4714,4714,2007,16,Welcome To The Black Parade,My Chemical Romance
4715,4715,2007,17,Chasing Cars,Snow Patrol
4716,4716,2007,18,Walk Away (Remember Me),Paula DeAnda Featuring The DEY
4717,4717,2007,19,Far Away,Nickelback
4718,4718,2007,20,Keep Holding On,Avril Lavigne
4719,4719,2007,21,Wind It Up,Gwen Stefani
4720,4720,2007,22,Runaway Love,Ludacris Featuring Mary J. Blige
4721,4721,2007,23,What Goes Around...Comes Around,Justin Timberlake
4722,4722,2007,24,Before He Cheats,Carrie Underwood
4723,4723,2007,25,Hurt,Christina Aguilera
4724,4724,2007,26,I Luv It,Young Jeezy
4725,4725,2007,27,Make It Rain,Fat Joe Featuring Lil Wayne
4726,4726,2007,28,Waiting On The World To Change,John Mayer
4727,4727,2007,29,You,Lloyd Featuring Lil Wayne
4728,4728,2007,30,Say Goodbye,Chris Brown
4729,4729,2007,31,Snow ((Hey Oh)),Red Hot Chili Peppers
4730,4730,2007,32,That's That,Snoop Dogg Featuring R. Kelly
4731,4731,2007,33,Too Little Too Late,JoJo
4732,4732,2007,34,Money In The Bank,Lil Scrappy Featuring Young Buck
4733,4733,2007,35,Wait A Minute,The Pussycat Dolls Featuring Timbaland
4734,4734,2007,36,Call Me When You're Sober,Evanescence
4735,4735,2007,37,My Wish,Rascal Flatts
4736,4736,2007,38,It's Not Over,Daughtry
4737,4737,2007,39,Through Glass,Stone Sour
4738,4738,2007,40,She's Everything,Brad Paisley
4739,4739,2007,41,Hip Hop Is Dead,Nas Featuring will.i.am
4740,4740,2007,42,Here It Goes Again,OK Go
4741,4741,2007,43,Suddenly I See,KT Tunstall
4742,4742,2007,44,White & Nerdy,"""Weird Al"" Yankovic"
4743,4743,2007,45,Watching You,Rodney Atkins
4744,4744,2007,46,What Hurts The Most,Rascal Flatts
4745,4745,2007,47,My Little Girl,Tim McGraw
4746,4746,2007,48,Tim McGraw,Taylor Swift
4747,4747,2007,49,Stuntin' Like My Daddy,Birdman & Lil Wayne
4748,4748,2007,50,You Don't Know,"Eminem, 50 Cent, Lloyd Banks & Ca$his"
4749,4749,2007,51,Tell Me,Diddy Featuring Christina Aguilera
4750,4750,2007,52,Want To,Sugarland
4751,4751,2007,53,Ice Box,Omarion
4752,4752,2007,54,Show Stopper,Danity Kane
4753,4753,2007,55,Top Back,T.I.
4754,4754,2007,56,Here (In Your Arms),Hellogoodbye
4755,4755,2007,57,When You Were Young,The Killers
4756,4756,2007,58,Lost One,Jay-Z Featuring Chrisette Michele
4757,4757,2007,59,Maneater,Nelly Furtado
4758,4758,2007,60,Show Me What You Got,JAY-Z
4759,4759,2007,61,Come To Me,Diddy Featuring Nicole Scherzinger
4760,4760,2007,62,Rockstar,Nickelback
4761,4761,2007,63,Poppin',Chris Brown Featuring Jay Biz
4762,4762,2007,64,Break It Off,Rihanna & Sean Paul
4763,4763,2007,65,Unappreciated,Cherish
4764,4764,2007,66,Into The Ocean,Blue October
4765,4765,2007,67,Boston,Augustana
4766,4766,2007,68,Zoom,Lil' Boosie Featuring Yung Joc
4767,4767,2007,69,Face Down,The Red Jumpsuit Apparatus
4768,4768,2007,70,It Just Comes Natural,George Strait
4769,4769,2007,71,Amarillo Sky,Jason Aldean
4770,4770,2007,72,The Sweet Escape,Gwen Stefani Featuring Akon
4771,4771,2007,73,Pain,Three Days Grace
4772,4772,2007,74,Stupid Boy,Keith Urban
4773,4773,2007,75,You Save Me,Kenny Chesney
4774,4774,2007,76,Throw Some D's,Rich Boy Featuring Polow Da Don
4775,4775,2007,77,Love Like Winter,AFI
4776,4776,2007,78,Upgrade U,Beyonce Featuring Jay Z
4777,4777,2007,79,Anna-Molly,Incubus
4778,4778,2007,80,The Saints Are Coming,U2 & Green Day
4779,4779,2007,81,Streetcorner Symphony,Rob Thomas
4780,4780,2007,82,Red High Heels,Kellie Pickler
4781,4781,2007,83,Ladies Love Country Boys,Trace Adkins
4782,4782,2007,84,Fidelity,Regina Spektor
4783,4783,2007,85,River,Sarah McLachlan
4784,4784,2007,86,The Way I Live,Baby Boy Da Prince Featuring Lil Boosie
4785,4785,2007,87,Nothing Left To Lose,Mat Kearney
4786,4786,2007,88,A Great Big Sled,The Killers Featuring Toni Halliday
4787,4787,2007,89,Happy Xmas (War Is Over),The Fray
4788,4788,2007,90,I Loved Her First,Heartland
4789,4789,2007,91,Come Back To Me,Vanessa Hudgens
4790,4790,2007,92,Some People Change,Montgomery Gentry
4791,4791,2007,93,Take Me As I Am,Mary J. Blige
4792,4792,2007,94,Lost Without U,Robin Thicke
4793,4793,2007,95,Listen,Beyonce
4794,4794,2007,96,Dem Jeans,Chingy Featuring Jermaine Dupri
4795,4795,2007,97,On The Hotline,Pretty Ricky
4796,4796,2007,98,Ay Chico (Lengua Afuera),Pitbull
4797,4797,2007,99,Tell Me Baby,Red Hot Chili Peppers
4798,4798,2007,100,Tu Amor,RBD
4799,4799,2008,1,Low,Flo Rida Featuring T-Pain
4800,4800,2008,2,No One,Alicia Keys
4801,4801,2008,3,Apologize,Timbaland Featuring OneRepublic
4802,4802,2008,4,Kiss Kiss,Chris Brown Featuring T-Pain
4803,4803,2008,5,Clumsy,Fergie
4804,4804,2008,6,Paralyzer,Finger Eleven
4805,4805,2008,7,Bubbly,Colbie Caillat
4806,4806,2008,8,Tattoo,Jordin Sparks
4807,4807,2008,9,Love Song,Sara Bareilles
4808,4808,2008,10,Hate That I Love You,Rihanna Featuring Ne-Yo
4809,4809,2008,11,Crank That (Soulja Boy),Soulja Boy Tell'em
4810,4810,2008,12,Sweetest Girl (Dollar Bill),"Wyclef Jean Featuring Akon, Lil Wayne & Niia"
4811,4811,2008,13,Cyclone,Baby Bash Featuring T-Pain
4812,4812,2008,14,Good Life,Kanye West Featuring T-Pain
4813,4813,2008,15,Take You There,Sean Kingston
4814,4814,2008,16,With You,Chris Brown
4815,4815,2008,17,Hypnotized,Plies Featuring Akon
4816,4816,2008,18,Love Like This,Natasha Bedingfield Featuring Sean Kingston
4817,4817,2008,19,Like You'll Never See Me Again,Alicia Keys
4818,4818,2008,20,Stronger,Kanye West
4819,4819,2008,21,Piece Of Me,Britney Spears
4820,4820,2008,22,Just Fine,Mary J. Blige
4821,4821,2008,23,Teardrops On My Guitar,Taylor Swift
4822,4822,2008,24,Can't Help But Wait,Trey Songz
4823,4823,2008,25,The Way I Are,Timbaland Featuring Keri Hilson
4824,4824,2008,26,Our Song,Taylor Swift
4825,4825,2008,27,Sensual Seduction,Snoop Dogg
4826,4826,2008,28,Shadow Of The Day,Linkin Park
4827,4827,2008,29,Duffle Bag Boy,Playaz Circle Featuring Lil Wayne
4828,4828,2008,30,How Far We've Come,matchbox twenty
4829,4829,2008,31,Misery Business,Paramore
4830,4830,2008,32,I Don't Wanna Be In Love (Dance Floor Anthem),Good Charlotte
4831,4831,2008,33,Into The Night,Santana Featuring Chad Kroeger
4832,4832,2008,34,Don't Stop The Music,Rihanna
4833,4833,2008,35,Suffocate,J. Holiday
4834,4834,2008,36,Flashing Lights,Kanye West Featuring Dwele
4835,4835,2008,37,Over You,Daughtry
4836,4836,2008,38,I'm So Hood,"DJ Khaled Featuring T-Pain, Trick Daddy, Rick Ross & Plies"
4837,4837,2008,39,Big Girls Don't Cry,Fergie
4838,4838,2008,40,Wake Up Call,Maroon 5
4839,4839,2008,41,Girlfriend,Bow Wow & Omarion
4840,4840,2008,42,Pop Bottles,Birdman Featuring Lil Wayne
4841,4841,2008,43,Until The End Of Time,Justin Timberlake Duet With Beyonce
4842,4842,2008,44,Stay,Sugarland
4843,4843,2008,45,Rockstar,Nickelback
4844,4844,2008,46,Bed,J. Holiday
4845,4845,2008,47,If I Had Eyes,Jack Johnson
4846,4846,2008,48,Sorry,Buckcherry
4847,4847,2008,49,Who Knew,P!nk
4848,4848,2008,50,Shawty Is A 10,The-Dream
4849,4849,2008,51,Shoulda Let You Go,Keyshia Cole Introducing Amina
4850,4850,2008,52,Get Buck In Here,"DJ Felli Fel Featuring Diddy, Akon, Ludacris & Lil Jon"
4851,4851,2008,53,"Ready, Set, Don't Go",Billy Ray Cyrus With Miley Cyrus
4852,4852,2008,54,Don't Blink,Kenny Chesney
4853,4853,2008,55,The Pretender,Foo Fighters
4854,4854,2008,56,Fake It,Seether
4855,4855,2008,57,Hero/Heroine,Boys Like Girls
4856,4856,2008,58,Independent,Webbie Featuring Lil' Phat & Lil' Boosie
4857,4857,2008,59,Soulja Girl,Soulja Boy Tell'em Featuring I-15
4858,4858,2008,60,See You Again,Miley Cyrus
4859,4859,2008,61,Calabria 2008,Enur Featuring Natasja
4860,4860,2008,62,This Christmas,Chris Brown
4861,4861,2008,63,My Drink N' My 2 Step,Cassidy Featuring Swizz Beatz
4862,4862,2008,64,Superstar,Lupe Fiasco Featuring Matthew Santos
4863,4863,2008,65,Gimme More,Britney Spears
4864,4864,2008,66,1234,Feist
4865,4865,2008,67,Ayo Technology,50 Cent Featuring Justin Timberlake & Timbaland
4866,4866,2008,68,So Small,Carrie Underwood
4867,4867,2008,69,Letter To Me,Brad Paisley
4868,4868,2008,70,The Chipmunk Song (Christmas Don't Be Late) (2007),Alvin And The Chipmunks
4869,4869,2008,71,Firecracker,Josh Turner
4870,4870,2008,72,Baby Don't Go,Fabolous Featuring Jermaine Dupri
4871,4871,2008,73,Won't Go Home Without You,Maroon 5
4872,4872,2008,74,Winner At A Losing Game,Rascal Flatts
4873,4873,2008,75,What Do Ya Think About That,Montgomery Gentry
4874,4874,2008,76,How 'Bout Them Cowgirls,George Strait
4875,4875,2008,77,Watching Airplanes,Gary Allan
4876,4876,2008,78,Work That,Mary J. Blige
4877,4877,2008,79,Stop And Stare,OneRepublic
4878,4878,2008,80,Crying Out For Me,Mario
4879,4879,2008,81,Everybody,Keith Urban
4880,4880,2008,82,Freaky Gurl,Gucci Mane
4881,4881,2008,83,crushcrushcrush,Paramore
4882,4882,2008,84,I Remember,Keyshia Cole
4883,4883,2008,85,S.O.S.,Jonas Brothers
4884,4884,2008,86,Pictures Of You,The Last Goodnight
4885,4885,2008,87,The Way I Am,Ingrid Michaelson
4886,4886,2008,88,Cleaning This Gun (Come On In Boy),Rodney Atkins
4887,4887,2008,89,Fly Like Me,Chingy Featuring Amerie
4888,4888,2008,90,Do You Hear What I Hear,Carrie Underwood
4889,4889,2008,91,Me Enamora,Juanes
4890,4890,2008,92,The Anthem,Pitbull Featuring Lil Jon
4891,4891,2008,93,Falling In Love At A Coffee Shop,Landon Pigg
4892,4892,2008,94,What Is It,Baby Bash Featuring Sean Kingston
4893,4893,2008,95,International Harvester,Craig Morgan
4894,4894,2008,96,Stealing Cinderella,Chuck Wicks
4895,4895,2008,97,He Said She Said,Ashley Tisdale
4896,4896,2008,98,Fall,Clay Walker
4897,4897,2008,99,Nothin' Better To Do,LeAnn Rimes
4898,4898,2008,100,Go Girl,Pitbull Featuring Trina & Young Bo$$
4899,4899,2009,1,Single Ladies (Put A Ring On It),Beyonce
4900,4900,2009,2,Live Your Life,T.I. Featuring Rihanna
4901,4901,2009,3,Just Dance,Lady Gaga Featuring Colby O'Donis
4902,4902,2009,4,Heartless,Kanye West
4903,4903,2009,5,Womanizer,Britney Spears
4904,4904,2009,6,Hot N Cold,Katy Perry
4905,4905,2009,7,Love Story,Taylor Swift
4906,4906,2009,8,Love Lockdown,Kanye West
4907,4907,2009,9,Whatever You Like,T.I.
4908,4908,2009,10,If I Were A Boy,Beyonce
4909,4909,2009,11,Circus,Britney Spears
4910,4910,2009,12,I'm Yours,Jason Mraz
4911,4911,2009,13,Let It Rock,Kevin Rudolf Featuring Lil Wayne
4912,4912,2009,14,Miss Independent,Ne-Yo
4913,4913,2009,15,Right Now (Na Na Na),Akon
4914,4914,2009,16,So What,P!nk
4915,4915,2009,17,Gotta Be Somebody,Nickelback
4916,4916,2009,18,Rehab,Rihanna
4917,4917,2009,19,Gives You Hell,The All-American Rejects
4918,4918,2009,20,Chicken Fried,Zac Brown Band
4919,4919,2009,21,Mrs. Officer,Lil Wayne Featuring Bobby Valentino & Kidd Kidd
4920,4920,2009,22,Pop Champagne,Jim Jones & Ron Browz Featuring Juelz Santana
4921,4921,2009,23,Disturbia,Rihanna
4922,4922,2009,24,Green Light,John Legend Featuring Andre 3000
4923,4923,2009,25,One More Drink,Ludacris Co-Starring T-Pain
4924,4924,2009,26,Addicted,Saving Abel
4925,4925,2009,27,Can't Believe It,T-Pain Featuring Lil Wayne
4926,4926,2009,28,Chopped 'N' Skrewed,T-Pain Featuring Ludacris
4927,4927,2009,29,You Found Me,The Fray
4928,4928,2009,30,Better In Time,Leona Lewis
4929,4929,2009,31,Put It On Ya,Plies Featuring Chris J
4930,4930,2009,32,I Hate This Part,The Pussycat Dolls
4931,4931,2009,33,I'm So Paid,Akon Featuring Lil Wayne & Young Jeezy
4932,4932,2009,34,Sober,P!nk
4933,4933,2009,35,Untouched,The Veronicas
4934,4934,2009,36,Viva La Vida,Coldplay
4935,4935,2009,37,Shattered (Turn The Car Around),O.A.R.
4936,4936,2009,38,Roll With Me,Montgomery Gentry
4937,4937,2009,39,I Don't Care,Fall Out Boy
4938,4938,2009,40,Light On,David Cook
4939,4939,2009,41,Human,The Killers
4940,4940,2009,42,Closer,Ne-Yo
4941,4941,2009,43,Love Remains The Same,Gavin Rossdale
4942,4942,2009,44,Decode,Paramore
4943,4943,2009,45,Crush,David Archuleta
4944,4944,2009,46,Fall For You,Secondhand Serenade
4945,4945,2009,47,Trading Places,Usher
4946,4946,2009,48,White Horse,Taylor Swift
4947,4947,2009,49,Just Like Me,Jamie Foxx Featuring T.I.
4948,4948,2009,50,Already Gone,Sugarland
4949,4949,2009,51,Swagga Like Us,Jay-Z & T.I. Featuring Kanye West & Lil Wayne
4950,4950,2009,52,In Color,Jamey Johnson
4951,4951,2009,53,Bust Your Windows,Jazmine Sullivan
4952,4952,2009,54,Feel That Fire,Dierks Bentley
4953,4953,2009,55,Here,Rascal Flatts
4954,4954,2009,56,Cowgirls Don't Cry,Brooks & Dunn Featuring Reba McEntire
4955,4955,2009,57,Country Boy,Alan Jackson
4956,4956,2009,58,She Wouldn't Be Gone,Blake Shelton
4957,4957,2009,59,Start A Band,Brad Paisley Duet With Keith Urban
4958,4958,2009,60,Right Here (Departed),Brandy
4959,4959,2009,61,Mad,Ne-Yo
4960,4960,2009,62,Seventeen Forever,Metro Station
4961,4961,2009,63,Playa Cardz Right,Keyshia Cole Featuring 2Pac
4962,4962,2009,64,Don't,Billy Currington
4963,4963,2009,65,God Love Her,Toby Keith
4964,4964,2009,66,Keeps Gettin' Better,Christina Aguilera
4965,4965,2009,67,Lookin' For A Good Time,Lady Antebellum
4966,4966,2009,68,Beautiful,Akon Featuring Colby O'Donis & Kardinal Offishall
4967,4967,2009,69,Universal Mind Control,Common Featuring Pharrell
4968,4968,2009,70,Second Chance,Shinedown
4969,4969,2009,71,Sex On Fire,Kings Of Leon
4970,4970,2009,72,Just A Dream,Carrie Underwood
4971,4971,2009,73,She Got Her Own,Ne-Yo Featuring Jamie Foxx & Fabolous
4972,4972,2009,74,My Life,The Game Featuring Lil Wayne
4973,4973,2009,75,Sweet Thing,Keith Urban
4974,4974,2009,76,IfULeave,Musiq Soulchild Featuring Mary J. Blige
4975,4975,2009,77,"You're Gonna Go Far, Kid",The Offspring
4976,4976,2009,78,Come On Get Higher,Matt Nathanson
4977,4977,2009,79,Down The Road,Kenny Chesney With Mac McAnally
4978,4978,2009,80,I Don't Care,Apocalyptica Featuring Adam Gontier
4979,4979,2009,81,Run,Leona Lewis
4980,4980,2009,82,Let It Go,Tim McGraw
4981,4981,2009,83,Dead And Gone,T.I. Featuring Justin Timberlake
4982,4982,2009,84,Krazy,Pitbull Featuring Lil Jon
4983,4983,2009,85,What About Now,Daughtry
4984,4984,2009,86,Arab Money,Busta Rhymes Featuring Ron Browz
4985,4985,2009,87,Broken,Lifehouse
4986,4986,2009,88,Without You,Hinder
4987,4987,2009,89,River Of Love,George Strait
4988,4988,2009,90,Turnin Me On,Keri Hilson Featuring Lil Wayne
4989,4989,2009,91,Everybody Wants To Go To Heaven,Kenny Chesney With The Wailers
4990,4990,2009,92,Poker Face,Lady Gaga
4991,4991,2009,93,When It Hurts,Avant
4992,4992,2009,94,Bad Girlfriend,Theory Of A Deadman
4993,4993,2009,95,Don't Trust Me,3OH!3
4994,4994,2009,96,Diva,Beyonce
4995,4995,2009,97,Beep,Bobby V Featuring Yung Joc
