,Unnamed: 0,year,rank,song,artist
1100,1100,1971,1,My Sweet Lord/Isn't It A Pity,George Harrison
1101,1101,1971,2,One Less Bell To Answer,The 5th Dimension
1102,1102,1971,3,Knock Three Times,Dawn
1103,1103,1971,4,The Tears Of A Clown,Smokey Robinson & The Miracles
1104,1104,1971,5,Black Magic Woman,Santana
1105,1105,1971,6,I Think I Love You,The Partridge Family Starring Shirley Jones Featuring David Cassidy
1106,1106,1971,7,Does Anybody Really Know What Time It Is?,Chicago
1107,1107,1971,8,Stoned Love,The Supremes
1108,1108,1971,9,Domino,Van Morrison
1109,1109,1971,10,Gypsy Woman,Brian Hyland
1110,1110,1971,11,For The Good Times,Ray Price
1111,1111,1971,12,Stoney End,Barbra Streisand
1112,1112,1971,13,No Matter What,Badfinger
1113,1113,1971,14,Pay To The Piper,Chairman Of The Board
1114,1114,1971,15,It's Impossible,Perry Como
1115,1115,1971,16,River Deep - Mountain High,The Supremes & Four Tops
1116,1116,1971,17,Groove Me,King Floyd
1117,1117,1971,18,Rose Garden,Lynn Anderson
1118,1118,1971,19,5-10-15-20 (25-30 Years Of Love),The Presidents
1119,1119,1971,20,One Man Band,Three Dog Night
