,Unnamed: 0,year,rank,song,artist
1360,1360,1973,61,Could It Be I'm Falling In Love,The Spinners
1361,1361,1973,62,Remember (Christmas),Nilsson
1362,1362,1973,63,Crazy Horses,The Osmonds
1363,1363,1973,64,Trouble In My Home/I Found My Dad,Joe Simon
1364,1364,1973,65,"The Cover Of ""Rolling Stone""",Dr. Hook And The Medicine Show
1365,1365,1973,66,What Am I Crying For?,Dennis Yost And The Classics IV
1366,1366,1973,67,Peaceful Easy Feeling,Eagles
1367,1367,1973,68,Anthem,Wayne Newton
1368,1368,1973,69,Everybody Loves A Love Song,Mac Davis
1369,1369,1973,70,You're A Lady,Dawn Featuring Tony Orlando
1370,1370,1973,71,We Need Order,The Chi-lites
1371,1371,1973,72,Daytime Night-Time,Keith Hampshire
1372,1372,1973,73,What My Baby Needs Now Is A Little More Lovin',James Brown-Lyn Collins
1373,1373,1973,74,Last Song,Edward Bear
1374,1374,1973,75,Lucky Man,"Emerson, Lake & Palmer"
1375,1375,1973,76,"Living Together, Growing Together",The 5th Dimension
1376,1376,1973,77,Songman,Cashman & West
1377,1377,1973,78,Mama Weer All Crazee Now,Slade
1378,1378,1973,79,Big City Miss Ruth Ann,Gallery
1379,1379,1973,80,Jesus Is Just Alright,The Doobie Brothers
