,Unnamed: 0,year,rank,song,artist
4420,4420,2004,22,Headstrong,Trapt
4421,4421,2004,23,White Flag,Dido
4422,4422,2004,24,Numb,Linkin Park
4423,4423,2004,25,Stunt 101,G Unit
4424,4424,2004,26,Wat Da Hook Gon Be,Murphy Lee Featuring Jermaine Dupri
4425,4425,2004,27,Gigolo,Nick Cannon Featuring R. Kelly
4426,4426,2004,28,So Far Away,Staind
4427,4427,2004,29,Perfect,Simple Plan
4428,4428,2004,30,The First Cut Is The Deepest,Sheryl Crow
4429,4429,2004,31,There Goes My Life,Kenny Chesney
4430,4430,2004,32,Salt Shaker,Ying Yang Twins Featuring Lil Jon & The East Side Boyz
4431,4431,2004,33,Through The Wire,Kanye West
4432,4432,2004,34,Remember When,Alan Jackson
4433,4433,2004,35,Bright Lights,matchbox twenty
4434,4434,2004,36,The Voice Within,Christina Aguilera
4435,4435,2004,37,Why Can't I?,Liz Phair
4436,4436,2004,38,Gangsta Nation,Westside Connection Featuring Nate Dogg
4437,4437,2004,39,You Can't Take The Honky Tonk Out Of The Girl,Brooks & Dunn
4438,4438,2004,40,F**k It (I Don't Want You Back),Eamon
4439,4439,2004,41,Shake Ya Tailfeather,"Nelly, P. Diddy & Murphy Lee"
