,Unnamed: 0,year,rank,song,artist
540,540,1965,41,I'll Be There,Gerry And The Pacemakers
541,541,1965,42,Smile,Betty Everett & Jerry Butler
542,542,1965,43,Roses Are Red My Love,"The ""You Know Who"" Group!"
543,543,1965,44,You Really Got Me,The Kinks
544,544,1965,45,Promised Land,Chuck Berry
545,545,1965,46,What Now,Gene Chandler
546,546,1965,47,You're Nobody Till Somebody Loves You,Dean Martin
547,547,1965,48,Boom Boom,The Animals
548,548,1965,49,Hawaii Tattoo,The Waikikis
549,549,1965,50,The Name Game,Shirley Ellis
550,550,1965,51,The 81,Candy & The Kisses
551,551,1965,52,(There's) Always Something There To Remind Me,Sandie Shaw
552,552,1965,53,Since I Don't Have You,Chuck Jackson
553,553,1965,54,All Day And All Of The Night,The Kinks
554,554,1965,55,Seven Letters,Ben E. King
555,555,1965,56,I'm Gonna Love You Too,The Hullaballoos
556,556,1965,57,Give Him A Great Big Kiss,The Shangri-Las
557,557,1965,58,Makin' Whoopee,Ray Charles
558,558,1965,59,Lovin' Place,Gale Garnett
559,559,1965,60,"Run, Run, Run",The Gestures
