,Unnamed: 0,year,rank,song,artist
3280,3280,1992,82,Move Any Mountain,The Shamen
3281,3281,1992,83,Conviction Of The Heart,Kenny Loggins
3282,3282,1992,84,All Through The Night,Tone-Loc
3283,3283,1992,85,Love Crazy,Atlantic Starr
3284,3284,1992,86,Rush,Big Audio
3285,3285,1992,87,Give It Away,Red Hot Chili Peppers
3286,3286,1992,88,Get A Leg Up,John Mellencamp
3287,3287,1992,89,Real Real Real,Jesus Jones
3288,3288,1992,90,The Rush,Luther Vandross
3289,3289,1992,91,The Fly,U2
3290,3290,1992,92,Right Down To It,Damian Dame
3291,3291,1992,93,Martika's Kitchen,Martika
3292,3292,1992,94,Breakin' My Heart (Pretty Brown Eyes),Mint Condition
3293,3293,1992,95,Wasted Time,Skid Row
3294,3294,1992,96,I'll Take You There,BeBe & CeCe Winans Featuring Mavis Staples
3295,3295,1992,97,Hold On (Tighter To Love),Clubland
3296,3296,1992,98,Just Another Girlfriend,Hi-Five
3297,3297,1992,99,She Ain't Pretty,The Northern Pikes
3298,3298,1992,100,What Time Is Love?,The KLF
3299,3299,1993,1,I Will Always Love You,Whitney Houston
