,Unnamed: 0,year,rank,song,artist
4400,4400,2004,2,The Way You Move,OutKast Featuring Sleepy Brown
4401,4401,2004,3,Milkshake,Kelis
4402,4402,2004,4,You Don't Know My Name,Alicia Keys
4403,4403,2004,5,Stand Up,Ludacris Featuring Shawnna
4404,4404,2004,6,Walked Outta Heaven,Jagged Edge
4405,4405,2004,7,Suga Suga,Baby Bash Featuring Frankie J
4406,4406,2004,8,Here Without You,3 Doors Down
4407,4407,2004,9,Slow Jamz,Twista Featuring Kanye West & Jamie Foxx
4408,4408,2004,10,"Me, Myself And I",Beyonce
4409,4409,2004,11,It's My Life,No Doubt
4410,4410,2004,12,Someday,Nickelback
4411,4411,2004,13,Baby Boy,Beyonce Featuring Sean Paul
4412,4412,2004,14,Holidae In,Chingy Featuring Ludacris & Snoop Dogg
4413,4413,2004,15,Damn!,YoungBloodZ Featuring Lil Jon
4414,4414,2004,16,Step In The Name Of Love,R. Kelly
4415,4415,2004,17,Change Clothes,JAY-Z
4416,4416,2004,18,Get Low,Lil Jon & The East Side Boyz Featuring Ying Yang Twins
4417,4417,2004,19,Read Your Mind,Avant
4418,4418,2004,20,Runnin (Dying To Live),Tupac Featuring The Notorious B.I.G.
4419,4419,2004,21,Why Don't You & I,Santana Featuring Alex Band Or Chad Kroeger
