,Unnamed: 0,year,rank,song,artist
5040,5040,2010,42,I Invented Sex,Trey Songz Featuring Drake
5041,5041,2010,43,Do I,Luke Bryan
5042,5042,2010,44,Fallin' For You,Colbie Caillat
5043,5043,2010,45,Consider Me Gone,Reba
5044,5044,2010,46,If You Only Knew,Shinedown
5045,5045,2010,47,One Time,Justin Bieber
5046,5046,2010,48,The Truth,Jason Aldean
5047,5047,2010,49,It Kills Me,Melanie Fiona
5048,5048,2010,50,Southern Voice,Tim McGraw
5049,5049,2010,51,Spotlight,Gucci Mane Featuring Usher
5050,5050,2010,52,White Liar,Miranda Lambert
5051,5051,2010,53,Russian Roulette,Rihanna
5052,5052,2010,54,Smile,Uncle Kracker
5053,5053,2010,55,Empire State Of Mind (Part II) Broken Down,Alicia Keys
5054,5054,2010,56,Uprising,Muse
5055,5055,2010,57,I Wanna Make You Close Your Eyes,Dierks Bentley
5056,5056,2010,58,Life After You,Daughtry
5057,5057,2010,59,Carry Out,Timbaland Featuring Justin Timberlake
5058,5058,2010,60,One Less Lonely Girl,Justin Bieber
5059,5059,2010,61,Papers,Usher
