,Unnamed: 0,year,rank,song,artist
320,320,1963,21,Don't Hang Up,The Orlons
321,321,1963,22,Up On The Roof,The Drifters
322,322,1963,23,Wiggle Wobble,Les Cooper and the Soul Rockers
323,323,1963,24,Love Came To Me,Dion
324,324,1963,25,I Saw Linda Yesterday,Dickey Lee
325,325,1963,26,Everybody Loves A Lover,The Shirelles
326,326,1963,27,Ruby Ann,Marty Robbins
327,327,1963,28,Shutters And Boards,Jerry Wallace
328,328,1963,29,Half Heaven - Half Heartache,Gene Pitney
329,329,1963,30,Monsters' Holiday,"Bobby ""Boris"" Pickett And The Crypt-Kickers"
330,330,1963,31,Ride!,Dee Dee Sharp
331,331,1963,32,Don't Make Me Over,Dionne Warwick
332,332,1963,33,(Dance With The) Guitar Man,Duane Eddy and the Rebelettes
333,333,1963,34,Trouble Is My Middle Name,Bobby Vinton
334,334,1963,35,Loop De Loop,Johnny Thunder
335,335,1963,36,Your Cheating Heart,Ray Charles
336,336,1963,37,See See Rider,LaVern Baker
337,337,1963,38,Rumors,Johnny Crawford
338,338,1963,39,I'm Gonna' Be Warm This Winter,Connie Francis
339,339,1963,40,Let's Go (pony),The Routers
