,Unnamed: 0,year,rank,song,artist
680,680,1966,81,Barbara Ann,The Beach Boys
681,681,1966,82,Lightnin' Strikes,Lou Christie
682,682,1966,83,Like A Baby,Len Barry
683,683,1966,84,If You Gotta Make A Fool Of Somebody,Maxine Brown
684,684,1966,85,Spread It On Thick,The Gentrys
685,685,1966,86,I Ain't Gonna Eat Out My Heart Anymore,The Young Rascals
686,686,1966,87,Love (Makes Me Do Foolish Things),Martha & The Vandellas
687,687,1966,88,Don't Look Back,The Temptations
688,688,1966,89,Hurt,Little Anthony And The Imperials
689,689,1966,90,Just One More Day,Otis Redding
690,690,1966,91,Black Nights,Lowell Fulsom
691,691,1966,92,I See The Light,The Five Americans
692,692,1966,93,"Get Out Of My Life, Woman",Lee Dorsey
693,693,1966,94,Yesterday Man,Chris Andrews
694,694,1966,95,Blue River,Elvis Presley
695,695,1966,96,Follow Your Heart,The Manhattans
696,696,1966,97,Look In My Eyes,The Three Degrees
697,697,1966,98,Spanish Harlem,King Curtis
698,698,1966,99,Can You Please Crawl Out Your Window?,Bob Dylan
699,699,1966,100,Mountain Of Love,Billy Stewart
