,Unnamed: 0,year,rank,song,artist
2140,2140,1981,42,Turn And Walk Away,The Babys
2141,2141,1981,43,He Can't Love You,Michael Stanley Band
2142,2142,1981,44,Need Your Loving Tonight,Queen
2143,2143,1981,45,My Mother's Eyes,Bette Midler
2144,2144,1981,46,Shine On,L.T.D.
2145,2145,1981,47,Gotta Have More Love,Climax Blues Band
2146,2146,1981,48,You,"Earth, Wind & Fire"
2147,2147,1981,49,I Need Your Lovin',Teena Marie
2148,2148,1981,50,Smoky Mountain Rain,Ronnie Milsap
2149,2149,1981,51,Heartbreak Hotel,The Jacksons
2150,2150,1981,52,Love T.K.O.,Teddy Pendergrass
2151,2151,1981,53,Teacher Teacher,Rockpile
2152,2152,1981,54,Games People Play,The Alan Parsons Project
2153,2153,1981,55,Seven Bridges Road,Eagles
2154,2154,1981,56,I Ain't Gonna Stand For It,Stevie Wonder
2155,2155,1981,57,This Time,John Cougar
2156,2156,1981,58,Dreaming,Cliff Richard
2157,2157,1981,59,Deep Inside My Heart,Randy Meisner
2158,2158,1981,60,The Wanderer,Donna Summer
2159,2159,1981,61,Fool That I Am,Rita Coolidge
