,Unnamed: 0,year,rank,song,artist
1840,1840,1978,42,As,Stevie Wonder
1841,1841,1978,43,Tried To Love,Peter Frampton
1842,1842,1978,44,If You're Not Back In Love By Monday,Millie Jackson
1843,1843,1978,45,Lovely Day,Bill Withers
1844,1844,1978,46,How Can I Leave You Again,John Denver
1845,1845,1978,47,"Long, Long Way From Home",Foreigner
1846,1846,1978,48,Wrap Your Arms Around Me,KC And The Sunshine Band
1847,1847,1978,49,Too Hot Ta Trot,Commodores
1848,1848,1978,50,Ffun,ConFunkShun
1849,1849,1978,51,You Make Loving Fun,Fleetwood Mac
1850,1850,1978,52,The Next Hundred Years,Al Martino
1851,1851,1978,53,Street Corner Serenade,Wet Willie
1852,1852,1978,54,"Baby, What A Big Surprise",Chicago
1853,1853,1978,55,Easy To Love,Leo Sayer
1854,1854,1978,56,Heaven On The 7th Floor,Paul Nicholas
1855,1855,1978,57,Breakdown,Tom Petty And The Heartbreakers
1856,1856,1978,58,Your Smiling Face,James Taylor
1857,1857,1978,59,Boogie Nights,Heatwave
1858,1858,1978,60,Falling,LeBlanc & Carr
1859,1859,1978,61,Theme From Close Encounters,Meco
