,Unnamed: 0,year,rank,song,artist
3600,3600,1996,2,"Exhale (Shoop Shoop) (From ""Waiting To Exhale"")",Whitney Houston
3601,3601,1996,3,Hey Lover,LL Cool J
3602,3602,1996,4,"Gangsta's Paradise (From ""Dangerous Minds"")",Coolio Featuring L.V.
3603,3603,1996,5,Diggin' On You,TLC
3604,3604,1996,6,Free As A Bird,The Beatles
3605,3605,1996,7,Breakfast At Tiffany's,Deep Blue Something
3606,3606,1996,8,Fantasy,Mariah Carey
3607,3607,1996,9,Before You Walk Out Of My Life/Like This And Like That,Monica
3608,3608,1996,10,Name,Goo Goo Dolls
3609,3609,1996,11,Missing,Everything But The Girl
3610,3610,1996,12,You'll See,Madonna
3611,3611,1996,13,One Of Us,Joan Osborne
3612,3612,1996,14,I Got Id/Long Road,Pearl Jam
3613,3613,1996,15,You Remind Me Of Something,R. Kelly
3614,3614,1996,16,Runaway,Janet Jackson
3615,3615,1996,17,Beautiful Life,Ace Of Base
3616,3616,1996,18,Tell Me,Groove Theory
3617,3617,1996,19,Tonite's Tha Night,Kris Kross
3618,3618,1996,20,Anything,3T
3619,3619,1996,21,Soon As I Get Home,Faith Evans
