,Unnamed: 0,year,rank,song,artist
3600,3600,1996,2,"Exhale (Shoop Shoop) (From ""Waiting To Exhale"")",Whitney Houston
3601,3601,1996,3,Hey Lover,LL Cool J
3602,3602,1996,4,"Gangsta's Paradise (From ""Dangerous Minds"")",Coolio Featuring L.V.
3603,3603,1996,5,Diggin' On You,TLC
3604,3604,1996,6,Free As A Bird,The Beatles
3605,3605,1996,7,Breakfast At Tiffany's,Deep Blue Something
3606,3606,1996,8,Fantasy,Mariah Carey
3607,3607,1996,9,Before You Walk Out Of My Life/Like This And Like That,Monica
3608,3608,1996,10,Name,Goo Goo Dolls
3609,3609,1996,11,Missing,Everything But The Girl
3610,3610,1996,12,You'll See,Madonna
3611,3611,1996,13,One Of Us,Joan Osborne
3612,3612,1996,14,I Got Id/Long Road,Pearl Jam
3613,3613,1996,15,You Remind Me Of Something,R. Kelly
3614,3614,1996,16,Runaway,Janet Jackson
3615,3615,1996,17,Beautiful Life,Ace Of Base
3616,3616,1996,18,Tell Me,Groove Theory
3617,3617,1996,19,Tonite's Tha Night,Kris Kross
3618,3618,1996,20,Anything,3T
3619,3619,1996,21,Soon As I Get Home,Faith Evans
3620,3620,1996,22,Bullet With Butterfly Wings,The Smashing Pumpkins
3621,3621,1996,23,Back For Good,Take That
3622,3622,1996,24,Too Hot,Coolio
3623,3623,1996,25,As I Lay Me Down,Sophie B. Hawkins
3624,3624,1996,26,Be My Lover,La Bouche
3625,3625,1996,27,Time,Hootie & The Blowfish
3626,3626,1996,28,Only Wanna Be With You,Hootie & The Blowfish
3627,3627,1996,29,Who Can I Run To,Xscape
3628,3628,1996,30,Kiss From A Rose,Seal
3629,3629,1996,31,Love U 4 Life,Jodeci
3630,3630,1996,32,Dreaming Of You,Selena
3631,3631,1996,33,Set U Free,Planet Soul
3632,3632,1996,34,"Sittin' Up In My Room (From ""Waiting To Exhale"")",Brandy
3633,3633,1996,35,Carnival,Natalie Merchant
3634,3634,1996,36,Roll To Me,Del Amitri
3635,3635,1996,37,No One Else,Total
3636,3636,1996,38,Blessed,Elton John
3637,3637,1996,39,Hook,Blues Traveler
3638,3638,1996,40,The World I Know,Collective Soul
3639,3639,1996,41,Wonder,Natalie Merchant
3640,3640,1996,42,"Natural One (From ""Kids"")",Folk Implosion
3641,3641,1996,43,Run-Around,Blues Traveler
3642,3642,1996,44,I'd Lie For You (And That's The Truth),Meat Loaf
3643,3643,1996,45,Just Tah Let U Know,Eazy-E
3644,3644,1996,46,I Remember,Boyz II Men
3645,3645,1996,47,Nobody Knows,The Tony Rich Project
3646,3646,1996,48,Waterfalls,TLC
3647,3647,1996,49,December,Collective Soul
3648,3648,1996,50,Get Together,Big Mountain
3649,3649,1996,51,Cell Therapy,Goodie Mob
3650,3650,1996,52,We Got It,Immature (Featuring Smooth)
3651,3651,1996,53,Cruisin',D'Angelo
3652,3652,1996,54,Danger,Blahzay Blahzay
3653,3653,1996,55,"I Like It, I Love It",Tim McGraw
3654,3654,1996,56,You Are Not Alone,Michael Jackson
3655,3655,1996,57,Pretty Girl,Jon B
3656,3656,1996,58,Where Ever You Are,Terry Ellis
3657,3657,1996,59,Ridin' Low,L.A.D.
3658,3658,1996,60,Comedown,Bush
3659,3659,1996,61,Brokenhearted,Brandy
3660,3660,1996,62,I'll Be There For You/This House Is Not A Home,The Rembrandts
3661,3661,1996,63,Let's Play House,Tha Dogg Pound Featuring Michel'le
3662,3662,1996,64,East 1999,Bone Thugs-N-Harmony
3663,3663,1996,65,Do You Sleep?,Lisa Loeb & Nine Stories
3664,3664,1996,66,I Will Remember You (Live),Sarah McLachlan
3665,3665,1996,67,When Love & Hate Collide,Def Leppard
3666,3666,1996,68,Come With Me,Shai
3667,3667,1996,69,Macarena (Bayside Boys Mix),Los Del Rio
3668,3668,1996,70,"I Miss You (Come Back Home) (From ""New York Undercover"")",Monifah
3669,3669,1996,71,Sexual Healing,Max-A-Million
3670,3670,1996,72,Throw Your Hands Up,L.V.
3671,3671,1996,73,Hooked On You,Silk
3672,3672,1996,74,(If You're Not In It For Love) I'm Outta Here!/The Woman In Me,Shania Twain
3673,3673,1996,75,Hurricane,The Click
3674,3674,1996,76,Incarcerated Scarfaces/Ice Cream,Raekwon
3675,3675,1996,77,It Matters To Me,Faith Hill
3676,3676,1996,78,Just A Girl,No Doubt
3677,3677,1996,79,Runnin',The Pharcyde
3678,3678,1996,80,Ain't Nuthin' But A She Thing,Salt-N-Pepa
3679,3679,1996,81,Boom Boom Boom,The Outhere Brothers
3680,3680,1996,82,Magic Carpet Ride,The Mighty Dub Katz
