,Unnamed: 0,year,rank,song,artist
1500,1500,1975,1,Lucy In The Sky With Diamonds,Elton John
1501,1501,1975,2,"You're The First, The Last, My Everything",Barry White
1502,1502,1975,3,Kung Fu Fighting,Carl Douglas
1503,1503,1975,4,Junior's Farm/Sally G,Paul McCartney And Wings
1504,1504,1975,5,Laughter In The Rain,Neil Sedaka
1505,1505,1975,6,Angie Baby,Helen Reddy
1506,1506,1975,7,Only You,Ringo Starr
1507,1507,1975,8,Boogie On Reggae Woman,Stevie Wonder
1508,1508,1975,9,Please Mr. Postman,Carpenters
1509,1509,1975,10,Mandy,Barry Manilow
1510,1510,1975,11,Cat's In The Cradle,Harry Chapin
1511,1511,1975,12,Must Of Got Lost,The J. Geils Band
1512,1512,1975,13,One Man Woman/One Woman Man,Paul Anka with Odia Coates
1513,1513,1975,14,Bungle In The Jungle,Jethro Tull
1514,1514,1975,15,Morning Side Of The Mountain,Donny & Marie Osmond
1515,1515,1975,16,Dark Horse,George Harrison
1516,1516,1975,17,When Will I See You Again,The Three Degrees
1517,1517,1975,18,Never Can Say Goodbye,Gloria Gaynor
1518,1518,1975,19,Sha-La-La (Make Me Happy),Al Green
1519,1519,1975,20,Fire,Ohio Players
1520,1520,1975,21,Doctor's Orders,Carol Douglas
1521,1521,1975,22,Pick Up The Pieces,AWB
1522,1522,1975,23,Some Kind Of Wonderful,Grand Funk
1523,1523,1975,24,You Got The Love,Rufus Featuring Chaka Khan
1524,1524,1975,25,Rock N' Roll (I Gave You The Best Years Of My Life),Mac Davis
1525,1525,1975,26,Ride 'em Cowboy,Paul Davis
1526,1526,1975,27,Get Dancin',Disco Tex & The Sex-O-Lettes Featuring Sir Monti Rock III
1527,1527,1975,28,Dancin' Fool,The Guess Who
1528,1528,1975,29,I Feel A Song (In My Heart)/Don't Burn Down The Bridge,Gladys Knight And The Pips
1529,1529,1975,30,From His Woman To You,Barbara Mason
1530,1530,1975,31,I Can Help,Billy Swan
1531,1531,1975,32,Best Of My Love,Eagles
1532,1532,1975,33,"Ruby, Baby","Billy ""Crash"" Craddock"
1533,1533,1975,34,I Belong To You,Love Unlimited
1534,1534,1975,35,Free Bird,Lynyrd Skynyrd
1535,1535,1975,36,Do It ('til You're Satisfied),B.T. Express
1536,1536,1975,37,You're No Good,Linda Ronstadt
1537,1537,1975,38,Promised Land,Elvis Presley
1538,1538,1975,39,The Entertainer,Billy Joel
1539,1539,1975,40,Struttin',Billy Preston
1540,1540,1975,41,Look In My Eyes Pretty Woman,Tony Orlando & Dawn
1541,1541,1975,42,Ain't Too Proud To Beg,The Rolling Stones
1542,1542,1975,43,Woman To Woman,Shirley Brown
1543,1543,1975,44,Ready,Cat Stevens
1544,1544,1975,45,Wishing You Were Here,Chicago
1545,1545,1975,46,Black Water,The Doobie Brothers
1546,1546,1975,47,#9 Dream,John Lennon
1547,1547,1975,48,Changes,David Bowie
1548,1548,1975,49,Funky President (People It's Bad)/Coldblooded,James Brown
1549,1549,1975,50,Sugar Pie Guy Pt. 1,The Joneses
1550,1550,1975,51,You Ain't Seen Nothing Yet/Free Wheelin',Bachman-Turner Overdrive
1551,1551,1975,52,My Eyes Adored You,Frankie Valli
1552,1552,1975,53,Without Love,Aretha Franklin
1553,1553,1975,54,My Melody Of Love,Bobby Vinton
1554,1554,1975,55,I've Got The Music In Me,The Kiki Dee Band
1555,1555,1975,56,Fairytale,The Pointer Sisters
1556,1556,1975,57,Sunshine Part II,The O'Jays
1557,1557,1975,58,Your Bulldog Drinks Champagne,Jim Stafford
1558,1558,1975,59,She's Gone,Tavares
1559,1559,1975,60,"Baby, Hang Up The Phone",Carl Graves
1560,1560,1975,61,Longfellow Serenade,Neil Diamond
1561,1561,1975,62,Lady,Styx
1562,1562,1975,63,Happy People,The Temptations
1563,1563,1975,64,Sweet Surrender,John Denver
1564,1564,1975,65,Can't Get It Out Of My Head,Electric Light Orchestra
1565,1565,1975,66,Lonely People,America
1566,1566,1975,67,Nightingale,Carole King
1567,1567,1975,68,Philadelphia,B.B. King
1568,1568,1975,69,"Whatever You Got, I Want",Jackson 5
1569,1569,1975,70,Let's Straighten It Out,Latimore
1570,1570,1975,71,One Tear,Eddie Kendricks
1571,1571,1975,72,I Am I Am,Smokey Robinson
1572,1572,1975,73,When A Child Is Born,Michael Holm
1573,1573,1975,74,Big Yellow Taxi,Joni Mitchell
1574,1574,1975,75,As Long As He Takes Care Of Home,Candi Staton
1575,1575,1975,76,"Hoppy, Gene And Me",Roy Rogers
1576,1576,1975,77,Day Tripper,Anne Murray
1577,1577,1975,78,I'm A Woman,Maria Muldaur
1578,1578,1975,79,Whatever Gets You Thru The Night,John Lennon With The Plastic Ono Nuclear Band
