,Unnamed: 0,year,rank,song,artist
2040,2040,1980,42,Fool In The Rain,Led Zeppelin
2041,2041,1980,43,Crazy Little Thing Called Love,Queen
2042,2042,1980,44,Voices,Cheap Trick
2043,2043,1980,45,Why Me,Styx
2044,2044,1980,46,You Know That I Love You,Santana
2045,2045,1980,47,She's In Love With You,Suzi Quatro
2046,2046,1980,48,Do You Love What You Feel,Rufus And Chaka Khan
2047,2047,1980,49,Mistrusted Love,Mistress
2048,2048,1980,50,Lonely Eyes,Robert John
2049,2049,1980,51,Lost Her In The Sun,John Stewart
2050,2050,1980,52,Dig The Gold,Joyce Cobb
2051,2051,1980,53,Last Train To London,Electric Light Orchestra
2052,2052,1980,54,September Morn',Neil Diamond
2053,2053,1980,55,Money,The Flying Lizards
2054,2054,1980,56,Daydream Believer,Anne Murray
2055,2055,1980,57,Move Your Boogie Body,Bar-Kays
2056,2056,1980,58,Wonderland,Commodores
2057,2057,1980,59,An American Dream,The Dirt Band
2058,2058,1980,60,Dirty Water,The Inmates
2059,2059,1980,61,Looks Like Love Again,Dann Rogers
