,Unnamed: 0,year,rank,song,artist
2940,2940,1989,42,Angel Of Harlem,U2
2941,2941,1989,43,Dial My Heart,The Boys
2942,2942,1989,44,"Kokomo (From""Cocktail"" )",The Beach Boys
2943,2943,1989,45,You Got It (The Right Stuff),New Kids On The Block
2944,2944,1989,46,"Wild, Wild West",The Escape Club
2945,2945,1989,47,A Little Respect,Erasure
2946,2946,1989,48,Baby Can I Hold You,Tracy Chapman
2947,2947,1989,49,Desire,U2
2948,2948,1989,50,Shake For The Sheik,The Escape Club
2949,2949,1989,51,Bad Medicine,Bon Jovi
2950,2950,1989,52,As Long As You Follow,Fleetwood Mac
2951,2951,1989,53,"Surrender To Me (From ""Tequila Sunrise"")",Ann Wilson & Robin Zander
2952,2952,1989,54,My Heart Can't Tell You No,Rod Stewart
2953,2953,1989,55,It's No Secret,Kylie Minogue
2954,2954,1989,56,The Loco-Motion,Kylie Minogue
2955,2955,1989,57,Don't Know What You Got (Till It's Gone),Cinderella
2956,2956,1989,58,Cross My Heart,Eighth Wonder
2957,2957,1989,59,Not Just Another Girl,Ivan Neville
2958,2958,1989,60,Groovy Kind Of Love,Phil Collins
2959,2959,1989,61,New Day For You,Basia
