,Unnamed: 0,year,rank,song,artist
4780,4780,2007,82,Red High Heels,Kellie Pickler
4781,4781,2007,83,Ladies Love Country Boys,Trace Adkins
4782,4782,2007,84,Fidelity,Regina Spektor
4783,4783,2007,85,River,Sarah McLachlan
4784,4784,2007,86,The Way I Live,Baby Boy Da Prince Featuring Lil Boosie
4785,4785,2007,87,Nothing Left To Lose,Mat Kearney
4786,4786,2007,88,A Great Big Sled,The Killers Featuring Toni Halliday
4787,4787,2007,89,Happy Xmas (War Is Over),The Fray
4788,4788,2007,90,I Loved Her First,Heartland
4789,4789,2007,91,Come Back To Me,Vanessa Hudgens
4790,4790,2007,92,Some People Change,Montgomery Gentry
4791,4791,2007,93,Take Me As I Am,Mary J. Blige
4792,4792,2007,94,Lost Without U,Robin Thicke
4793,4793,2007,95,Listen,Beyonce
4794,4794,2007,96,Dem Jeans,Chingy Featuring Jermaine Dupri
4795,4795,2007,97,On The Hotline,Pretty Ricky
4796,4796,2007,98,Ay Chico (Lengua Afuera),Pitbull
4797,4797,2007,99,Tell Me Baby,Red Hot Chili Peppers
4798,4798,2007,100,Tu Amor,RBD
4799,4799,2008,1,Low,Flo Rida Featuring T-Pain
