,Unnamed: 0,year,rank,song,artist
760,760,1967,61,Grizzly Bear,The Youngbloods
761,761,1967,62,Baby What I Mean,The Drifters
762,762,1967,63,(Open Up The Door) Let The Good Times In,Dean Martin
763,763,1967,64,It's Now Winters Day,Tommy Roe
764,764,1967,65,Hello Hello,"The Sopwith ""Camel"""
765,765,1967,66,Kind Of A Drag,The Buckinghams
766,766,1967,67,"Hey, Leroy, Your Mama's Callin' You",Jimmy Castor
767,767,1967,68,The Girl That Stood Beside Me,Bobby Darin
768,768,1967,69,There's Something On Your Mind,Baby Ray
769,769,1967,70,Just One Smile,Gene Pitney
770,770,1967,71,I'm Gonna Miss You,The Artistics
771,771,1967,72,Wish Me A Rainbow,The Gunter Kallmann Chorus
772,772,1967,73,If You Go Away,Damita Jo
773,773,1967,74,Day Tripper,Ramsey Lewis
774,774,1967,75,Dancing In The Street,The Mamas & The Papas
775,775,1967,76,Pushin' Too Hard,The Seeds
776,776,1967,77,Wild Thing,Senator Bobby Featuring Bill Minkin
777,777,1967,78,Bring It Up,James Brown And The Famous Flames
778,778,1967,79,Are You Lonely For Me,Freddy Scott
779,779,1967,80,Gimme Some Lovin',The Spencer Davis Group
