,Unnamed: 0,year,rank,song,artist
5420,5420,2014,22,Stay The Night,Zedd Featuring Hayley Williams
5421,5421,2014,23,Unconditionally,Katy Perry
5422,5422,2014,24,My Hitta,YG Featuring Jeezy & Rich Homie Quan
5423,5423,2014,25,Applause,Lady Gaga
5424,5424,2014,26,All I Want For Christmas Is You,Mariah Carey
5425,5425,2014,27,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell
5426,5426,2014,28,Holy Grail,Jay Z Featuring Justin Timberlake
5427,5427,2014,29,Show Me,Kid Ink Featuring Chris Brown
5428,5428,2014,30,Stay,Florida Georgia Line
5429,5429,2014,31,Radioactive,Imagine Dragons
5430,5430,2014,32,Love More,Chris Brown Featuring Nicki Minaj
5431,5431,2014,33,Gas Pedal,Sage The Gemini Featuring IamSu!
5432,5432,2014,34,Drink A Beer,Luke Bryan
5433,5433,2014,35,Brave,Sara Bareilles
5434,5434,2014,36,It Won't Stop,Sevyn Streeter Featuring Chris Brown
5435,5435,2014,37,All Me,Drake Featuring 2 Chainz & Big Sean
5436,5436,2014,38,Rap God,Eminem
5437,5437,2014,39,Sail,AWOLNATION
5438,5438,2014,40,Whatever She's Got,David Nail
5439,5439,2014,41,Marry Me,Jason Derulo
