,Unnamed: 0,Unnamed: 0.1,year,rank,song,artist,gender,nltk_positive,nltk_negative,nltk_score,nltk_top_emotion,Gender,genres
0,5940,5940,2019,42,Happy Xmas (War Is Over),John & Yoko/The Plastic Ono Band With The Harlem Community Choir,,0.318,0.058,0.9975,anticipation,,"['album rock', 'art rock', 'beatlesque', 'classic rock', 'folk rock', 'mellow gold', 'rock']"
1,5941,5941,2019,43,Christmas (Baby Please Come Home),Darlene Love,,0.275,0.022,0.9954,anticipation,Female,"['dance pop', 'pop', 'urban contemporary']"
2,5942,5942,2019,44,Underneath The Tree,Kelly Clarkson,,0.159,0.044,0.9904,joy,Female,"['dance pop', 'neo mellow', 'pop', 'pop rock', 'post-teen pop', 'talent show']"
3,5943,5943,2019,45,Run Rudolph Run,Chuck Berry,,0.113,0.02,0.9268,anticipation,Male,"['blues rock', 'classic rock', 'rock', 'rock-and-roll', 'rockabilly', 'soul']"
4,5944,5944,2019,46,Natural,Imagine Dragons,,0.16,0.074,0.9833,fear,Male,"['modern rock', 'pop', 'rock']"
5,5945,5945,2019,47,Wow.,Post Malone,,0.084,0.071,0.5642,anger,Male,"['dfw rap', 'melodic rap', 'rap']"
6,5946,5946,2019,48,Love Lies,Khalid & Normani,,0.212,0.14,0.9936,joy,,"['pop', 'pop r&b']"
7,5947,5947,2019,49,Jingle Bells,Frank Sinatra,,0.107,0.004,0.9864,anticipation,Male,"['adult standards', 'easy listening', 'lounge']"
8,5948,5948,2019,50,Beautiful,Bazzi Featuring Camila Cabello,,0.106,0.162,-0.9979,trust,,"['contemporary country', 'country']"
9,5949,5949,2019,51,Better,Khalid,,0.175,0.135,0.9397,trust,Male,"['scandipop', 'tropical house']"
10,5950,5950,2019,52,Shallow,Lady Gaga & Bradley Cooper,,0.109,0.091,0.6786,fear,,"['art pop', 'dance pop', 'pop']"
11,5951,5951,2019,53,Cozy Little Christmas,Katy Perry,,0.171,0.027,0.9937,joy,Female,"['dance pop', 'pop', 'post-teen pop']"
12,5952,5952,2019,54,She Got The Best Of Me ,Luke Combs,,0.204,0.078,0.9931,fear,Male,"['contemporary country', 'country']"
13,5953,5953,2019,55,The Christmas Song,Lauren Daigle,,0.094,0.024,0.9062,trust,Female,"['adult standards', 'vocal jazz']"
14,5954,5954,2019,56,Uproar,Lil Wayne,,0.144,0.173,-0.979,joy,Male,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']"
15,5955,5955,2019,57,Swervin,A Boogie Wit da Hoodie Featuring 6ix9ine,,0.139,0.204,-0.9947,anger,,"['melodic rap', 'rap', 'trap']"
16,5956,5956,2019,58,Can't Leave Without It,21 Savage,,0.093,0.151,-0.9965,trust,Male,"['atl hip hop', 'rap', 'trap']"
17,5957,5957,2019,59,You Say,Lauren Daigle,,0.114,0.083,0.875,sadness,Female,"['ccm', 'christian music', 'worship']"
18,5958,5958,2019,60,Close To Me,Ellie Goulding X Diplo Featuring Swae Lee,,0.099,0.061,0.7574,fear,,"['dance pop', 'electropop', 'indietronica', 'metropopolis', 'pop', 'uk pop']"
19,5959,5959,2019,61,Best Shot,Jimmie Allen,,0.201,0.107,0.993,trust,Male,"['black americana', 'contemporary country', 'country pop']"
