,Unnamed: 0,date,rank,song,artist,gender,genre,genres
433,433,2021,34,Hurricane,Kanye West,,,"['chicago rap', 'rap']"
434,434,2021,35,A-O-K,Tai Verdes,,,['modern indie pop']
435,435,2021,36,Butter,BTS,,,"['k-pop', 'k-pop boy group']"
436,436,2021,37,On My Side,YoungBoy Never Broke Again,,,"['baton rouge rap', 'trap']"
437,437,2021,38,Too Easy,Gunna & Future,,,"['atl hip hop', 'hip hop', 'melodic rap', 'rap', 'trap']"
438,438,2021,39,Leave Before You Love Me,Marshmello X Jonas Brothers,,,"['brostep', 'edm', 'pop', 'pop dance', 'progressive electro house']"
439,439,2021,40,No Where,YoungBoy Never Broke Again,,,"['baton rouge rap', 'trap']"
440,440,2021,41,Peaches,Justin Bieber Featuring Daniel Caesar & Giveon,,,"['canadian pop', 'pop']"
441,441,2021,42,Family Ties,Baby Keem & Kendrick Lamar,,,"['hip hop', 'rap']"
442,442,2021,43,Memory I Don't Mess With,Lee Brice,,,"['contemporary country', 'country', 'country road', 'modern country rock']"
443,443,2021,44,Late At Night,Roddy Ricch,,,"['melodic rap', 'rap', 'trap']"
444,444,2021,45,Things A Man Oughta Know,Lainey Wilson,,,"['contemporary country', 'country pop']"
445,445,2021,46,Cold Heart (PNAU Remix),Elton John & Dua Lipa,,,"['glam rock', 'mellow gold', 'piano rock']"
446,446,2021,47,Meet Me At Our Spot,THE ANXIETY: WILLOW & Tyler Cole,,,['modern alternative pop']
447,447,2021,48,Life Support,YoungBoy Never Broke Again,,,"['baton rouge rap', 'trap']"
448,448,2021,49,I Was On A Boat That Day,Old Dominion,,,"['contemporary country', 'country', 'country road']"
449,449,2021,50,Love Nwantiti (Ah Ah Ah),CKay,,,['afro r&b']
450,450,2021,51,Wild Side,Normani Featuring Cardi B,,,"['dance pop', 'pop', 'post-teen pop', 'r&b', 'urban contemporary']"
451,451,2021,52,Whole Lotta Money,BIA Featuring Nicki Minaj,,,"['escape room', 'pop', 'r&b', 'rap latina', 'trap queen']"
452,452,2021,53,Hold Me Down,YoungBoy Never Broke Again,,,"['baton rouge rap', 'trap']"
453,453,2021,54,Champagne Poetry,Drake,,,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']"
454,454,2021,55,Buy Dirt,Jordan Davis Featuring Luke Bryan,,,['contemporary country']
455,455,2021,56,Have Mercy,Chloe,,,[]
456,456,2021,57,Love Again,Dua Lipa,,,"['dance pop', 'pop', 'uk pop']"
457,457,2021,58,Nevada,YoungBoy Never Broke Again,,,"['baton rouge rap', 'trap']"
458,458,2021,59,50 Shots,YoungBoy Never Broke Again,,,"['baton rouge rap', 'trap']"
459,459,2021,60,No Friends In The Industry,Drake,,,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']"
460,460,2021,61,Smoke Strong,YoungBoy Never Broke Again,,,"['baton rouge rap', 'trap']"
461,461,2021,62,Break Or Make Me,YoungBoy Never Broke Again,,,"['baton rouge rap', 'trap']"
462,462,2021,63,You Time,Scotty McCreery,,,"['contemporary country', 'country', 'country road', 'modern country rock']"
463,463,2021,64,Gyalis,Capella Grey,,,['pop rap']
464,464,2021,65,Cold As You,Luke Combs,,,"['contemporary country', 'country']"
465,465,2021,66,My Boy,Elvie Shane,,,"['art pop', 'electropop', 'pop']"
466,466,2021,67,Sincerely,YoungBoy Never Broke Again,,,"['baton rouge rap', 'trap']"
467,467,2021,68,Drunk (And I Don't Wanna Go Home),Elle King & Miranda Lambert,,,['modern blues rock']
468,468,2021,69,I Can't Take It Back,YoungBoy Never Broke Again,,,"['baton rouge rap', 'trap']"
469,469,2021,70,Waves,Luke Bryan,,,"['chicago rap', 'rap']"
470,470,2021,71,Sharing Locations,Meek Mill Featuring Lil Baby & Lil Durk,,,"['hip hop', 'philly rap', 'pop rap', 'rap', 'southern hip hop', 'trap']"
471,471,2021,72,In The Bible,Drake Featuring Lil Durk & Giveon,,,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']"
472,472,2021,73,Thot Shit,Megan Thee Stallion,,,"['houston rap', 'pop', 'trap queen']"
473,473,2021,74,Rumors,Lizzo Featuring Cardi B,,,"['dance pop', 'escape room', 'minnesota hip hop', 'pop', 'trap queen']"
474,474,2021,75,Woman,Doja Cat,,,"['dance pop', 'pop']"
475,475,2021,76,Thinking 'Bout You,Dustin Lynch Featuring Lauren Alaina Or MacKenzie Porter,,,"['contemporary country', 'country', 'country road', 'modern country rock']"
476,476,2021,77,Baddest,"Yung Bleu, Chris Brown & 2 Chainz",,,"['alabama rap', 'pop r&b', 'pop rap', 'r&b', 'trap']"
477,477,2021,78,2055,Sleepy Hallow,,,"['brooklyn drill', 'nyc rap']"
478,478,2021,79,Memory,Kane Brown X blackbear,,,"['black americana', 'contemporary country', 'country road']"
479,479,2021,80,Forgiato,YoungBoy Never Broke Again,,,"['baton rouge rap', 'trap']"
480,480,2021,81,You Should Probably Leave,Chris Stapleton,,,"['contemporary country', 'outlaw country']"
481,481,2021,82,Drinkin' Beer. Talkin' God. Amen.,Chase Rice Featuring Florida Georgia Line,,,"['contemporary country', 'country', 'country road', 'modern country rock']"
482,482,2021,83,Rich Shit,YoungBoy Never Broke Again,,,"['baton rouge rap', 'trap']"
483,483,2021,84,TSU,Drake,,,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']"
484,484,2021,85,Volvi,Aventura x Bad Bunny,,,"['bachata', 'bachata dominicana', 'latin', 'latin hip hop', 'latin pop', 'trap latino', 'tropical']"
485,485,2021,86,Todo de Ti,Rauw Alejandro,,,"['puerto rican pop', 'trap latino']"
486,486,2021,87,Love All,Drake Featuring JAY-Z,,,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']"
487,487,2021,88,N 2 Deep,Drake Featuring Future,,,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']"
488,488,2021,89,Yonaguni,Bad Bunny,,,"['latin', 'reggaeton', 'trap latino']"
489,489,2021,90,Knowing You,Kenny Chesney,,,"['contemporary country', 'country', 'country road']"
490,490,2021,91,For Tonight,Giveon,,,"['pop', 'r&b']"
491,491,2021,92,Baddest Thing,YoungBoy Never Broke Again,,,"['baton rouge rap', 'trap']"
492,492,2021,93,Summer Of Love,Shawn Mendes & Tainy,,,"['canadian pop', 'dance pop', 'pop', 'viral pop']"
493,493,2021,94,Get Into It (Yuh),Doja Cat,,,"['dance pop', 'pop']"
494,494,2021,95,Same Boat,Zac Brown Band,,,"['contemporary country', 'country', 'country road', 'modern country rock']"
495,495,2021,96,Pipe Down,Drake,,,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']"
496,496,2021,97,Papi's Home,Drake,,,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']"
497,497,2021,98,Chosen,Blxst & Tyga Featuring Ty Dolla $ign,,,['pop rap']
498,498,2021,99,Toxic Punk,YoungBoy Never Broke Again,,,"['baton rouge rap', 'trap']"
499,499,2021,100,Moon,Kanye West,,,"['chicago rap', 'rap']"
500,500,2021,1,Stay,The Kid LAROI & Justin Bieber,,,['australian hip hop']
501,501,2021,2,Industry Baby,Lil Nas X & Jack Harlow,,,"['lgbtq+ hip hop', 'pop']"
502,502,2021,3,Way 2 Sexy,Drake Featuring Future & Young Thug,,,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']"
503,503,2021,4,Bad Habits,Ed Sheeran,,,"['pop', 'uk pop']"
504,504,2021,5,Fancy Like,Walker Hayes,,,"['contemporary country', 'country', 'country road', 'modern country rock']"
505,505,2021,6,Good 4 U,Olivia Rodrigo,,,['pop']
506,506,2021,7,Kiss Me More,Doja Cat Featuring SZA,,,"['dance pop', 'pop']"
507,507,2021,8,Knife Talk,Drake Featuring 21 Savage & Project Pat,,,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']"
508,508,2021,9,Montero (Call Me By Your Name),Lil Nas X,,,"['lgbtq+ hip hop', 'pop']"
509,509,2021,10,Thats What I Want,Lil Nas X,,,"['lgbtq+ hip hop', 'pop']"
