,Unnamed: 0,Unnamed: 0.1,year,rank,song,artist,gender,nltk_positive,nltk_negative,nltk_score,nltk_top_emotion,Gender,genres
0,5880,5880,2018,82,MIC Drop,BTS Featuring Desiigner,,0.047,0.081,-0.9073,anticipation,,"['k-pop', 'k-pop boy group']"
1,5881,5881,2018,83,Dubai Shit,Huncho Jack Featuring Offset,,0.115,0.126,-0.9358,anger,,"['hip hop', 'melodic rap', 'pop rap', 'rap', 'southern hip hop', 'trap']"
2,5882,5882,2018,84,My Dawg,Lil Baby,,0.092,0.059,0.9093,anger,Male,"['atl hip hop', 'atl trap', 'rap', 'trap']"
3,5883,5883,2018,85,Pick It Up,Famous Dex Featuring A$AP Rocky,,0.121,0.152,-0.9927,fear,,"['chicago rap', 'drill', 'rap', 'southern hip hop', 'trap', 'underground hip hop', 'vapor trap', 'viral rap']"
4,5884,5884,2018,86,Written In The Sand,Old Dominion,,0.128,0.049,0.9761,joy,Male,"['contemporary country', 'country', 'country road']"
5,5885,5885,2018,87,Huncho Jack,Huncho Jack,,0.17,0.1,0.9795,anger,,"['hip hop', 'melodic rap', 'pop rap', 'rap', 'southern hip hop', 'trap']"
6,5886,5886,2018,88,Krippy Kush,"Farruko, Nicki Minaj, Bad Bunny, 21 Savage & Rvssian",,0.009,0.093,-0.9935,trust,,"['latin', 'reggaeton', 'trap latino']"
7,5887,5887,2018,89,Five More Minutes,Scotty McCreery,,0.104,0.11,-0.1759,trust,Male,"['contemporary country', 'country', 'country road', 'modern country rock']"
8,5888,5888,2018,90,Motorcycle Patches,Huncho Jack,,0.12,0.09,0.9359,trust,,"['hip hop', 'melodic rap', 'pop rap', 'rap', 'southern hip hop', 'trap']"
9,5889,5889,2018,91,Mayores,Becky G Featuring Bad Bunny,,0.0,0.079,-0.9815,joy,,"['dance pop', 'latin', 'latin pop', 'latin viral pop', 'pop', 'rap latina', 'reggaeton', 'trap latino']"
10,5890,5890,2018,92,Saint,Huncho Jack,,0.119,0.113,-0.4373,anger,,"['dfw rap', 'melodic rap', 'rap']"
11,5891,5891,2018,93,Walk On Water,Eminem Featuring Beyonce,,0.142,0.121,0.9379,sadness,,"['modern rock', 'post-grunge', 'rock']"
12,5892,5892,2018,94,Stir Fry,Migos,,0.171,0.053,0.9976,sadness,,"['atl hip hop', 'rap', 'trap']"
13,5893,5893,2018,95,Home,"Machine Gun Kelly, X Ambassadors & Bebe Rexha",,0.117,0.177,-0.9932,trust,,"['melodic rap', 'philly rap', 'rap', 'trap']"
14,5894,5894,2018,96,F**k Love,XXXTENTACION Featuring Trippie Redd,,0.179,0.221,-0.9487,joy,,[]
15,5895,5895,2018,97,Legends,Kelsea Ballerini,,0.108,0.13,-0.8341,anticipation,Female,"['chicago rap', 'melodic rap']"
16,5896,5896,2018,98,Too Much To Ask,Niall Horan,,0.13,0.039,0.986,joy,Male,"['dance pop', 'pop', 'post-teen pop']"
17,5897,5897,2018,99,Dusk Till Dawn,Zayn Featuring Sia,,0.115,0.058,0.9872,joy,,"['dance pop', 'pop', 'post-teen pop', 'uk pop']"
18,5898,5898,2018,100,Juice,Yo Gotti,,0.154,0.084,0.9939,trust,Male,"['chicago rap', 'melodic rap']"
19,5899,5899,2019,1,"Thank U, Next",Ariana Grande,,0.346,0.054,0.9996,trust,Female,"['dance pop', 'pop']"
