,Unnamed: 0,Unnamed: 0.1,year,rank,song,artist,gender,nltk_positive,nltk_negative,nltk_score,nltk_top_emotion,Gender,genres
0,5800,5800,2018,2,Rockstar,Post Malone Featuring 21 Savage,,0.123,0.065,0.9735,anger,,"['north carolina hip hop', 'rap']"
1,5801,5801,2018,3,Havana,Camila Cabello Featuring Young Thug,,0.042,0.026,0.8693,joy,,"['dance pop', 'pop', 'post-teen pop']"
2,5802,5802,2018,4,No Limit,G-Eazy Featuring A$AP Rocky & Cardi B,,0.074,0.221,-0.9994,trust,,"['hip hop', 'indie pop rap', 'oakland hip hop', 'pop', 'pop rap', 'rap']"
3,5803,5803,2018,5,Thunder,Imagine Dragons,,0.039,0.032,0.509,joy,Male,"['modern rock', 'pop', 'rock']"
4,5804,5804,2018,6,Gucci Gang,Lil Pump,,0.062,0.199,-0.9972,anger,Male,"['emo rap', 'miami hip hop', 'rap', 'social media pop', 'trap']"
5,5805,5805,2018,7,MotorSport,"Migos, Nicki Minaj & Cardi B",,0.11,0.108,-0.8659,fear,,"['atl hip hop', 'rap', 'trap']"
6,5806,5806,2018,8,Too Good At Goodbyes,Sam Smith,,0.156,0.227,-0.977,anticipation,Male,"['dance pop', 'pop', 'uk pop']"
7,5807,5807,2018,9,Bad At Love,Halsey,,0.206,0.155,0.9863,disgust,Female,"['dance pop', 'electropop', 'etherpop', 'indie poptimism', 'pop']"
8,5808,5808,2018,10,Bodak Yellow (Money Moves),Cardi B,,0.015,0.068,-0.9868,fear,Female,[]
9,5809,5809,2018,11,Love.,Kendrick Lamar Featuring Zacari,,0.061,0.027,0.9664,joy,,['afro r&b']
10,5810,5810,2018,12,New Rules,Dua Lipa,,0.067,0.088,-0.6902,trust,Female,"['dance pop', 'pop', 'uk pop']"
11,5811,5811,2018,13,All I Want For Christmas Is You,Mariah Carey,,0.076,0.086,0.923,joy,Female,"['dance pop', 'pop', 'urban contemporary']"
12,5812,5812,2018,14,Bartier Cardi,Cardi B Featuring 21 Savage,,0.081,0.23,-0.9995,anger,,"['dance pop', 'pop', 'pop rap', 'rap']"
13,5813,5813,2018,15,Gummo,6ix9ine,,0.029,0.332,-0.9995,anger,Male,"['emo rap', 'rap']"
14,5814,5814,2018,16,I Fall Apart,Post Malone,,0.062,0.171,-0.9927,sadness,Male,"['dfw rap', 'melodic rap', 'rap']"
15,5815,5815,2018,17,Let You Down,NF,,0.201,0.087,0.9978,sadness,Male,"['hip hop', 'pop rap', 'rap']"
16,5816,5816,2018,18,Young Dumb & Broke,Khalid,,0.137,0.43,-0.9993,joy,Male,"['pop', 'pop r&b']"
17,5817,5817,2018,19,Shape Of You,Ed Sheeran,,0.21,0.022,0.9993,joy,Male,"['pop', 'uk pop']"
18,5818,5818,2018,20,Sorry Not Sorry,Demi Lovato,,0.178,0.23,-0.9848,fear,,"['dance pop', 'pop', 'post-teen pop']"
19,5819,5819,2018,21,What Lovers Do,Maroon 5 Featuring SZA,,0.179,0.042,0.9968,joy,,"['pop', 'pop rock']"
