,Unnamed: 0,Unnamed: 0.1,year,rank,song,artist,gender,nltk_positive,nltk_negative,nltk_score,nltk_top_emotion,Gender,genres
0,5980,5980,2019,82,When The Party's Over,Billie Eilish,,0.353,0.045,0.9977,anger,Female,"['art pop', 'electropop', 'pop']"
1,5981,5981,2019,83,Sweet But Psycho,Ava Max,,0.172,0.127,0.9795,joy,Female,"['dance pop', 'pop']"
2,5982,5982,2019,84,This Feeling,The Chainsmokers Featuring Kelsea Ballerini,,0.108,0.081,0.7199,anticipation,,"['dance pop', 'edm', 'electropop', 'pop', 'pop dance', 'tropical house']"
3,5983,5983,2019,85,You,Jacquees,,0.061,0.027,0.9664,joy,Male,"['dance pop', 'pop']"
4,5984,5984,2019,86,1.5,21 Savage,,0.057,0.136,-0.994,fear,Male,"['atl hip hop', 'rap', 'trap']"
5,5985,5985,2019,87,Girl Like You,Jason Aldean,,0.161,0.114,0.9805,joy,Male,"['contemporary country', 'country', 'country road']"
6,5986,5986,2019,88,Out For The Night,21 Savage,,0.074,0.062,0.6568,anger,Male,"['atl hip hop', 'rap', 'trap']"
7,5987,5987,2019,89,Good Girl,Dustin Lynch,,0.111,0.019,0.9916,joy,Male,"['contemporary country', 'country', 'country road', 'modern country rock']"
8,5988,5988,2019,90,No Stylist,French Montana Featuring Drake,,0.061,0.182,-0.9936,trust,,"['hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
9,5989,5989,2019,91,Lovely,Billie Eilish & Khalid,,0.194,0.069,0.9866,joy,,"['art pop', 'electropop', 'pop']"
10,5990,5990,2019,92,Ella Quiere Beber,Anuel AA & Romeo Santos,,0.015,0.09,-0.9962,anger,,"['latin', 'reggaeton', 'reggaeton flow', 'trap boricua', 'trap latino']"
11,5991,5991,2019,93,Gun Smoke,21 Savage,,0.116,0.213,-0.9957,fear,Male,"['atl hip hop', 'rap', 'trap']"
12,5992,5992,2019,94,Demons And Angels,A Boogie Wit da Hoodie Featuring Juice WRLD,,0.093,0.216,-0.9981,fear,,"['melodic rap', 'rap', 'trap']"
13,5993,5993,2019,95,ASMR,21 Savage,,0.06,0.161,-0.9974,fear,Male,"['atl hip hop', 'rap', 'trap']"
14,5994,5994,2019,96,Last Shot,Kip Moore,,0.055,0.037,0.5994,fear,Male,"['contemporary country', 'country', 'country road', 'modern country rock']"
15,5995,5995,2019,97,Fine China,Future & Juice WRLD,,0.124,0.14,-0.941,sadness,,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
16,5996,5996,2019,98,Envy Me,Calboy,,0.132,0.17,-0.9749,trust,Male,"['chicago rap', 'melodic rap', 'pop rap', 'rap', 'trap', 'vapor trap']"
17,5997,5997,2019,99,Lost In Japan,Shawn Mendes X Zedd,,0.058,0.078,-0.5262,sadness,,"['canadian pop', 'dance pop', 'pop', 'viral pop']"
18,5998,5998,2019,100,This Is It,Scotty McCreery,,0.106,0.223,-0.9993,fear,Male,"['contemporary country', 'country', 'country road', 'modern country rock']"
19,5999,5999,2020,1,All I Want For Christmas Is You,Mariah Carey,,0.076,0.086,0.923,joy,Female,"['dance pop', 'pop', 'urban contemporary']"
