,Unnamed: 0,year,rank,song,artist,gender,nltk_positive,nltk_negative,nltk_score,nltk_top_emotion,genres
82,82,1960,83,I'm Movin' On,Ray Charles and his Orchestra,,0.061,0.066,-0.7709,anticipation,"['contemporary country', 'country', 'country road']"
83,83,1960,84,Tracy's Theme,Spencer Ross,,0.216,0.175,0.9534,joy,"['adult standards', 'ballroom', 'easy listening', 'lounge', 'space age pop']"
84,84,1960,85,The Little Drummer Boy,Johnny Cash,,0.2,0.044,0.9582,joy,"['adult standards', 'easy listening']"
85,85,1960,86,Little Things Mean A Lot,Joni James,,0.158,0.061,0.9631,trust,"['deep adult standards', 'torch song']"
86,86,1960,87,Riverboat,Faron Young,,0.171,0.026,0.9985,anticipation,"['indie garage rock', 'surf punk']"
88,88,1960,89,God Bless America,Connie Francis,,0.292,0.023,0.9812,trust,"['art pop', 'pop']"
89,89,1960,90,The Sound Of Music,Patti Page,,0.129,0.015,0.9856,anger,[]
90,90,1960,91,I Don't Know What It Is,The Bluenotes,,0.145,0.073,0.9721,fear,"['canadian pop', 'chamber pop', 'melancholia', 'piano rock', 'singer-songwriter']"
91,91,1960,92,Darling Lorraine,The Knockouts,,0.245,0.089,0.9983,joy,"['classic rock', 'folk', 'folk rock', 'mellow gold', 'permanent wave', 'rock', 'singer-songwriter', 'soft rock']"
92,92,1960,93,In The Still Of The Nite,The Five Satins,,0.094,0.047,0.9995,anticipation,"['boy band', 'contemporary r&b', 'new jack swing', 'r&b', 'urban contemporary']"
93,93,1960,94,Do-Re-Mi,Mitch Miller,,0.024,0.018,0.5044,anticipation,"['pop', 'pop rap']"
94,94,1960,95,Little Coco Palm,Jerry Wallace,,0.201,0.043,0.9975,joy,['deep adult standards']
95,95,1960,96,Deck Of Cards,Wink Martindale,,0.155,0.041,0.9969,anger,['uk alternative hip hop']
96,96,1960,97,One Mint Julep,Chet Atkins,,,,,,"['brill building pop', 'doo-wop', 'rhythm and blues', 'rock-and-roll']"
97,97,1960,98,Happy Anniversary,Jane Morgan,,0.263,0.048,0.9979,joy,"['album rock', 'art rock', 'australian rock', 'classic rock', 'country rock', 'folk rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']"
98,98,1960,99,Smokie-Part 2,Bill Doggett,,0.123,0.012,0.9974,joy,[]
99,99,1960,100,One More Chance,Rod Bernard,,0.084,0.254,-0.9996,anger,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap']"
