,year,rank,song,artist,gender,nltk_positive,nltk_negative,nltk_score,nltk_top_emotion,Gender,genres
0,1960,1,El Paso,Marty Robbins,,0.157,0.153,0.3568,joy,Male,"['cowboy western', 'nashville sound']"
1,1960,2,Why,Frankie Avalon,,0.12,0.133,-0.9944,anger,Male,"['garage rock', 'permanent wave', 'rock', 'sheffield indie']"
2,1960,3,The Big Hurt,Miss Toni Fisher,,0.022,0.106,-0.875,anticipation,Female,"['hard bop', 'jazz', 'jazz fusion', 'jazz guitar']"
3,1960,4,Running Bear,Johnny Preston,,0.365,0.025,0.999,joy,Male,['nashville sound']
4,1960,5,Way Down Yonder In New Orleans,Freddie Cannon,,0.21,0.045,0.9822,joy,,"['brill building pop', 'bubblegum pop', 'deep adult standards', 'doo-wop', 'merseybeat', 'rhythm and blues', 'rock-and-roll', 'rockabilly']"
5,1960,6,Heartaches By The Number,Guy Mitchell,,0.27,0.126,0.9907,joy,Male,"['adult standards', 'brill building pop', 'deep adult standards', 'rock-and-roll']"
6,1960,7,It's Time To Cry,Paul Anka,,0.03,0.226,-0.9698,sadness,Male,"['adult standards', 'brill building pop', 'canadian pop', 'easy listening', 'lounge', 'rock-and-roll']"
7,1960,8,Among My Souvenirs,Connie Francis,,0.071,0.069,0.0516,sadness,Female,"['adult standards', 'brill building pop', 'easy listening', 'lounge', 'rock-and-roll', 'rockabilly', 'vocal jazz']"
8,1960,9,Pretty Blue Eyes,Steve Lawrence,,0.341,0.0,0.9952,sadness,Male,"['adult standards', 'brill building pop', 'deep adult standards', 'easy listening', 'lounge']"
9,1960,10,"Go, Jimmy, Go",Jimmy Clanton,,0.095,0.008,0.9499,anticipation,Male,"['adult standards', 'brill building pop', 'deep adult standards', 'doo-wop', 'rhythm and blues', 'rock-and-roll', 'swamp pop']"
10,1960,11,We Got Love,Bobby Rydell,,0.387,0.021,0.9998,joy,Male,"['dance pop', 'edm', 'pop', 'pop dance', 'tropical house']"
11,1960,12,Mack The Knife,Bobby Darin,,0.045,0.054,0.2359,anticipation,Male,"['adult standards', 'brill building pop', 'easy listening', 'lounge', 'rock-and-roll', 'rockabilly', 'soul', 'swing', 'vocal jazz']"
12,1960,13,The Village Of St. Bernadette,Andy Williams,,0.188,0.0,0.9692,joy,Male,"['adult standards', 'brill building pop', 'easy listening', 'lounge', 'vocal jazz']"
13,1960,14,Uh! Oh! Part 2,The Nutty Squirrels,,0.273,0.102,0.9835,anger,,['partyschlager']
14,1960,15,Sandy,Larry Hall,,0.196,0.105,0.9981,trust,Male,['meme rap']
15,1960,16,Hound Dog Man,Fabian,,0.237,0.0,0.993,joy,Male,"['blues', 'blues rock', 'electric blues', 'modern blues', 'texas blues']"
16,1960,17,Scarlet Ribbons (For Her Hair),The Browns,,0.077,0.049,0.4767,anticipation,,"['adult standards', 'brill building pop', 'classic rock', 'mellow gold', 'rock-and-roll', 'rockabilly']"
17,1960,18,Smokie - Part 2,Bill Black's Combo,,0.241,0.083,0.9875,joy,,[]
18,1960,19,Not One Minute More,Della Reese,,0.197,0.01,0.9864,joy,Female,['space age pop']
19,1960,20,This Friendly World,Fabian,,0.222,0.014,0.9983,joy,Male,"['alternative rock', 'anti-folk', 'freak folk', 'idaho indie', 'indie pop', 'indie rock', 'lo-fi', 'modern rock', 'stomp and holler']"
0,1960,21,In The Mood,Ernie Fields & Orch.,,0.14,0.036,0.992,anger,,"['adult standards', 'big band', 'easy listening', 'jazz trombone', 'lounge', 'swing', 'vocal jazz']"
1,1960,22,The Little Drummer Boy,The Harry Simeone Chorale,,0.2,0.044,0.9582,joy,,"['adult standards', 'easy listening']"
2,1960,23,You Got What It Takes,Marv Johnson,,0.187,0.08,0.9985,anticipation,Male,"['deep disco', 'post-disco', 'post-disco soul']"
3,1960,24,First Name Initial,Annette With The Afterbeats,,0.133,0.0,0.9915,trust,,[]
4,1960,25,So Many Ways,Brook Benton,,0.096,0.214,-0.9988,fear,Male,"['g funk', 'gangster rap', 'hardcore hip hop', 'hip hop', 'pop rap', 'rap', 'west coast rap']"
5,1960,26,Oh! Carol,Neil Sedaka,,0.362,0.233,0.9903,sadness,Male,"['adult standards', 'brill building pop', 'bubblegum pop', 'easy listening', 'lounge', 'mellow gold', 'rockabilly', 'soft rock']"
6,1960,27,Be My Guest,Fats Domino,,0.185,0.004,0.996,anticipation,Male,"['afroswing', 'dancehall', 'uk hip hop']"
7,1960,28,Tear Drop,Santo & Johnny,,0.175,0.123,0.8544,sadness,,"['k-pop', 'k-pop boy group']"
8,1960,29,Teen Angel,Mark Dinning,,0.127,0.034,0.9327,joy,Male,[]
9,1960,30,Come Into My Heart,Lloyd Price and His Orchestra,,0.176,0.0,0.9884,joy,,"['anthem worship', 'ccm', 'christian pop', 'world worship']"
10,1960,31,Mr. Blue,The Fleetwoods,,0.173,0.122,0.8361,joy,,"['album rock', 'art rock', 'beatlesque', 'classic rock', 'glam rock', 'mellow gold', 'rock', 'soft rock', 'symphonic rock']"
11,1960,32,I Wanna Be Loved,Ricky Nelson,,0.114,0.054,0.987,fear,Male,['vintage hollywood']
12,1960,33,Danny Boy,Conway Twitty,,0.147,0.112,0.7351,disgust,Male,[]
13,1960,34,Don't You Know,Della Reese,,0.088,0.203,-0.995,sadness,Female,"['alt z', 'indie poptimism', 'modern rock', 'pop']"
14,1960,35,Talk That Talk,Jackie Wilson,,0.211,0.028,0.9984,joy,Male,"['barbadian pop', 'dance pop', 'pop', 'pop rap', 'urban contemporary']"
15,1960,36,Marina,Rocco Granata and the International Quintet,,0.138,0.067,0.9922,sadness,,"['art pop', 'dance pop', 'electropop', 'metropopolis', 'pop', 'uk alternative pop']"
16,1960,38,How About That,Dee Clark,,0.152,0.044,0.988,joy,Male,['dmv rap']
17,1960,39,Swingin' On A Rainbow,Frankie Avalon,,0.245,0.081,0.9867,anticipation,Male,"['adult standards', 'brill building pop', 'deep adult standards', 'doo-wop', 'rock-and-roll']"
18,1960,40,Misty,Johnny Mathis,,0.048,0.0,0.7722,anticipation,Male,"['indie folk', 'stomp and holler']"
0,1960,41,He'll Have To Go,Jim Reeves,,0.184,0.094,0.9712,joy,Male,"['adult standards', 'nashville sound', 'rock-and-roll']"
1,1960,42,Believe Me,Royal Teens,,0.096,0.121,-0.9708,joy,,[]
2,1960,43,Dance With Me,The Drifters,,0.136,0.007,0.9899,trust,,"['lo-fi chill', 'sad lo-fi']"
3,1960,44,Just As Much As Ever,Bob Beckham,,0.17,0.062,0.9565,joy,,"['adult standards', 'brill building pop', 'bubblegum pop', 'easy listening', 'lounge', 'rock-and-roll']"
4,1960,45,The Happy Reindeer,"Dancer, Prancer And Nervous",,0.134,0.048,0.9905,anticipation,,['lullaby']
5,1960,46,Bonnie Came Back,Duane Eddy His Twangy Guitar And The Rebels,,0.075,0.059,0.94,fear,,"['contemporary country', 'country', 'country road', 'country rock']"
6,1960,47,(New In) The Ways Of Love,Tommy Edwards,,0.242,0.024,0.9987,sadness,Male,"['deep adult standards', 'doo-wop']"
7,1960,48,If I Had A Girl,Rod Lauren,,0.092,0.066,0.9371,anticipation,Male,"['glitchcore', 'underground hip hop']"
8,1960,49,Mighty Good,Ricky Nelson,,0.243,0.031,0.9996,trust,Male,"['ccm', 'christian alternative rock', 'christian music', 'christian rock', 'worship']"
9,1960,50,What About Us,The Coasters,,0.203,0.087,0.9928,anticipation,,"['dance pop', 'pop']"
10,1960,51,Where Or When,Dion & The Belmonts,,0.215,0.006,0.9967,joy,,"['big band', 'classical trumpet', 'contemporary post-bop', 'jazz', 'jazz trumpet', 'new orleans jazz', 'straight-ahead jazz']"
11,1960,52,The Clouds,The Spacemen,,0.059,0.267,-0.9999,anger,,['anime lo-fi']
12,1960,53,Mary Don't You Weep,Stonewall Jackson,,0.271,0.045,0.999,sadness,Male,"['funk', 'funk rock', 'minneapolis sound', 'synth funk']"
13,1960,54,Marina,Willy Alberti,,0.138,0.067,0.9922,sadness,,"['art pop', 'dance pop', 'electropop', 'metropopolis', 'pop', 'uk alternative pop']"
14,1960,55,"(If You Cry) True Love, True Love",The Drifters,,0.36,0.083,0.9946,joy,,"['adult standards', 'brill building pop', 'bubblegum pop', 'mellow gold', 'motown', 'rock-and-roll', 'rockabilly', 'soul']"
15,1960,56,No Love Have I,Webb Pierce,,0.293,0.175,0.9782,joy,Male,"['ccm', 'christian alternative rock', 'christian music', 'world worship', 'worship']"
16,1960,57,Reveille Rock,Johnny And The Hurricanes,,,,,,,"['rock-and-roll', 'rockabilly', 'surf music']"
17,1960,58,Uh! Oh! Part 1,The Nutty Squirrels,,0.199,0.125,0.9969,sadness,,[]
18,1960,59,Always,Sammy Turner,,0.117,0.177,-0.9932,trust,Male,"['experimental pop', 'indie surf']"
19,1960,60,"Shimmy, Shimmy, Ko-Ko-Bop",Little Anthony And The Imperials,,0.07,0.034,0.8825,anticipation,,"['brill building pop', 'classic soul', 'doo-wop', 'motown', 'rhythm and blues', 'rock-and-roll']"
0,1960,61,The Chipmunk Song (Christmas Don't Be Late),David Seville And The Chipmunks,,0.258,0.033,0.992,anticipation,,"[""children's music""]"
1,1960,62,Down By The Station,The Four Preps,,,,,,Male,"[""children's music""]"
2,1960,63,A Year Ago Tonight,The Crests,,0.18,0.038,0.9821,anticipation,,"['new wave', 'permanent wave', 'rock', 'uk post-punk']"
3,1960,64,Honey Hush,Joe Turner,,0.146,0.053,0.9648,joy,Male,"['blues', 'blues rock', 'electric blues', 'modern blues', 'texas blues']"
4,1960,65,Lonely Blue Boy,Conway Twitty,,0.081,0.215,-0.9296,sadness,Male,"['arkansas country', 'country', 'country rock']"
5,1960,66,Wont'cha Come Home,Lloyd Price and His Orchestra,,0.163,0.06,0.9787,joy,,['jam band']
6,1960,67,Handy Man,Jimmy Jones,,0.187,0.088,0.9487,joy,Male,"['adult standards', 'classic rock', 'folk', 'folk rock', 'mellow gold', 'rock', 'singer-songwriter', 'soft rock']"
7,1960,68,Crazy Arms,Bob Beckham,,0.172,0.059,0.8883,sadness,,"['country', 'honky tonk', 'nashville sound', 'traditional country']"
8,1960,69,High School U.S.A.,Tommy Facenda,,0.071,0.038,0.784,trust,Male,"['chicago punk', 'hardcore punk', 'power-pop punk', 'punk', ""punk 'n' roll"", 'ska punk', 'skate punk']"
9,1960,70,Lucky Devil,"Carl Dobkins, Jr.",,0.104,0.199,-0.999,anger,Male,['pop rock']
10,1960,71,Let's Try Again,Clyde McPhatter,,0.124,0.039,0.9832,anticipation,Male,['lo-fi beats']
11,1960,73,(Seven Little Girls) Sitting In The Back Seat,Paul Evans and the Curls,,0.082,0.134,-0.9118,fear,,[]
12,1960,74,Primrose Lane,Jerry Wallace With The Jewels,,0.214,0.0,0.9674,anticipation,,['deep adult standards']
13,1960,75,This Time Of The Year,Brook Benton,,0.13,0.0,0.9235,anticipation,Male,"['brill building pop', 'motown', 'rhythm and blues', 'rock-and-roll', 'soul', 'southern soul']"
14,1960,76,Love Potion No. 9,The Clovers,,0.215,0.046,0.9896,fear,,"['brill building pop', 'doo-wop', 'rhythm and blues', 'rock-and-roll']"
15,1960,77,Climb Ev'ry Mountain,Tony Bennett,,0.147,0.019,0.9231,anticipation,Male,[]
16,1960,79,Sweet Nothin's,Brenda Lee,,0.382,0.0,0.9954,joy,Female,"['adult standards', 'brill building pop', 'vocal jazz']"
17,1960,80,Run Red Run,The Coasters,,0.084,0.096,-0.5346,fear,,"['adult standards', 'brill building pop', 'doo-wop', 'motown', 'rhythm and blues', 'rock-and-roll', 'rockabilly', 'soul']"
0,1960,82,Rockin' Little Angel,Ray Smith,,0.122,0.082,0.9527,joy,Male,"['pub rock', 'rockabilly']"
1,1960,83,I'm Movin' On,Ray Charles and his Orchestra,,0.061,0.066,-0.7709,anticipation,,"['contemporary country', 'country', 'country road']"
2,1960,84,Tracy's Theme,Spencer Ross,,0.21,0.173,0.9438,sadness,,"['adult standards', 'ballroom', 'easy listening', 'lounge', 'space age pop']"
3,1960,85,The Little Drummer Boy,Johnny Cash,,0.2,0.044,0.9582,joy,Male,"['adult standards', 'easy listening']"
4,1960,86,Little Things Mean A Lot,Joni James,,0.158,0.061,0.9631,trust,Female,"['deep adult standards', 'torch song']"
5,1960,87,Riverboat,Faron Young,,0.171,0.026,0.9985,anticipation,Male,"['indie garage rock', 'surf punk']"
6,1960,89,God Bless America,Connie Francis,,0.292,0.023,0.9812,trust,Female,"['art pop', 'pop']"
7,1960,90,The Sound Of Music,Patti Page,,0.129,0.015,0.9856,anger,Female,[]
8,1960,91,I Don't Know What It Is,The Bluenotes,,0.145,0.073,0.9721,fear,,"['canadian pop', 'chamber pop', 'melancholia', 'piano rock', 'singer-songwriter']"
9,1960,92,Darling Lorraine,The Knockouts,,0.245,0.089,0.9983,joy,,"['classic rock', 'folk', 'folk rock', 'mellow gold', 'permanent wave', 'rock', 'singer-songwriter', 'soft rock']"
10,1960,93,In The Still Of The Nite,The Five Satins,,0.094,0.047,0.9995,anticipation,,"['boy band', 'contemporary r&b', 'new jack swing', 'r&b', 'urban contemporary']"
11,1960,94,Do-Re-Mi,Mitch Miller,,0.024,0.018,0.5044,anticipation,Male,"['pop', 'pop rap']"
12,1960,95,Little Coco Palm,Jerry Wallace,,0.201,0.043,0.9975,joy,Male,['deep adult standards']
13,1960,96,Deck Of Cards,Wink Martindale,,0.155,0.041,0.9969,anger,Male,['uk alternative hip hop']
14,1960,97,One Mint Julep,Chet Atkins,,,,,,Male,"['brill building pop', 'doo-wop', 'rhythm and blues', 'rock-and-roll']"
15,1960,98,Happy Anniversary,Jane Morgan,,0.263,0.048,0.9979,joy,Female,"['album rock', 'art rock', 'australian rock', 'classic rock', 'country rock', 'folk rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']"
16,1960,99,Smokie-Part 2,Bill Doggett,,0.123,0.012,0.9974,joy,Male,[]
17,1960,100,One More Chance,Rod Bernard,,0.084,0.254,-0.9996,anger,Male,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap']"
0,1961,1,Are You Lonesome To-night?,Elvis Presley With The Jordanaires,,0.114,0.135,-0.6423,sadness,,[]
1,1961,2,Wonderland By Night,Bert Kaempfert And His Orchestra,,0.336,0.057,0.9942,joy,,"['adult standards', 'ballroom', 'easy listening', 'lounge']"
2,1961,3,Last Date,Floyd Cramer,,0.163,0.183,-0.1047,joy,Male,"['easy listening', 'honky-tonk piano', 'nashville sound']"
3,1961,4,Exodus,Ferrante & Teicher,,0.104,0.128,-0.9773,fear,,"['dark trap', 'new orleans rap', 'underground hip hop']"
4,1961,5,A Thousand Stars,Kathy Young With The Innocents,,0.291,0.035,0.9961,joy,,[]
5,1961,6,North To Alaska,Johnny Horton,,0.073,0.021,0.9559,trust,Male,"['cowboy western', 'rock-and-roll']"
6,1961,7,Many Tears Ago,Connie Francis,,0.164,0.17,0.5721,joy,Female,"['adult standards', 'brill building pop', 'easy listening', 'lounge', 'rock-and-roll', 'rockabilly', 'vocal jazz']"
7,1961,8,You're Sixteen,Johnny Burnette,,0.099,0.076,0.9367,trust,Male,"['album rock', 'beatlesque', 'bubblegum pop', 'classic rock', 'country rock', 'folk rock', 'mellow gold', 'rock', 'rock drums', 'soft rock']"
8,1961,9,Angel Baby,Rosie And The Originals,,0.125,0.099,0.8721,joy,,"['australian pop', 'dance pop', 'electropop', 'pop', 'viral pop']"
9,1961,10,"Corinna, Corinna",Ray Peterson,,0.367,0.0,0.9962,joy,Male,"['american primitive', 'country rock', 'fingerstyle', 'folk', 'jam band', 'roots rock']"
10,1961,11,Rubber Ball,Bobby Vee,,0.174,0.045,0.9726,joy,Male,"['modern rock', 'punk blues', 'rock']"
11,1961,12,Sailor (Your Home Is The Sea),Lolita,,0.197,0.0,0.8689,anticipation,Female,"['classic schlager', 'schlager', 'volksmusik']"
12,1961,13,He Will Break Your Heart,Jerry Butler,,0.048,0.241,-0.9914,joy,Male,"['beach music', 'brill building pop', 'chicago soul', 'classic soul', 'motown', 'philly soul', 'quiet storm', 'rhythm and blues', 'soul']"
13,1961,14,Will You Love Me Tomorrow,The Shirelles,,0.372,0.027,0.9956,joy,,"['adult standards', 'brill building pop', 'classic girl group', 'classic soul', 'doo-wop', 'motown', 'rhythm and blues', 'rock-and-roll', 'rockabilly', 'soul']"
14,1961,15,Lonely Teenager,Dion,,0.097,0.148,-0.5574,fear,Male,"['adult standards', 'brill building pop', 'doo-wop', 'lounge', 'rock-and-roll', 'rockabilly']"
15,1961,16,Wonderland By Night,Louis Prima,,0.336,0.057,0.9942,joy,Male,"['adult standards', 'ballroom', 'easy listening', 'lounge']"
16,1961,17,Perfidia,The Ventures,,0.301,0.15,0.9538,joy,,"['adult standards', 'vocal jazz']"
17,1961,18,Rockin' Around The Christmas Tree,Brenda Lee,,0.254,0.014,0.9868,anticipation,Female,"['adult standards', 'brill building pop', 'vocal jazz']"
18,1961,19,Wonderland By Night,Anita Bryant,,0.336,0.057,0.9942,joy,Female,"['adult standards', 'ballroom', 'easy listening', 'lounge']"
19,1961,20,Sway,Bobby Rydell,,0.102,0.187,-0.9988,anger,Male,"['adult standards', 'canadian pop', 'jazz pop', 'lounge']"
0,1961,21,Poetry In Motion,Johnny Tillotson,,0.201,0.036,0.987,joy,Male,"['adult standards', 'brill building pop', 'bubblegum pop', 'doo-wop', 'merseybeat', 'nashville sound', 'rock-and-roll', 'rockabilly']"
1,1961,22,Calcutta,Lawrence Welk And His Orchestra,,0.007,0.061,-0.9518,trust,,"['desi hip hop', 'lo-fi rap', 'pop rap']"
2,1961,23,Wings Of A Dove,Ferlin Husky,,0.212,0.061,0.9894,joy,Male,['nashville sound']
3,1961,24,New Orleans,U.S. Bonds,,0.117,0.108,0.5425,anticipation,,"['boy band', 'hip hop', 'rap']"
4,1961,25,My Girl Josephine,Fats Domino,,0.16,0.063,0.9934,joy,Male,"['adult standards', 'brill building pop', 'louisiana blues', 'lounge', 'new orleans blues', 'piano blues', 'rhythm and blues', 'rock-and-roll', 'rockabilly', 'soul']"
5,1961,26,Blue Tango,Bill Black's Combo,,0.179,0.074,0.9347,sadness,,"['american modern classical', 'easy listening', 'space age pop']"
6,1961,27,Baby Oh Baby,The Shells,,0.368,0.047,0.9943,joy,,['doo-wop']
7,1961,28,Ruby,Ray Charles,,0.084,0.119,-0.3313,anticipation,Male,"['punk', 'ska', 'ska punk', 'skate punk']"
8,1961,29,The Little Drummer Boy,The Harry Simeone Chorale,,0.2,0.044,0.9582,joy,,"['adult standards', 'easy listening']"
9,1961,30,Fools Rush In (Where Angels Fear To Tread),Brook Benton,,0.106,0.219,-0.9519,disgust,Male,"['new romantic', 'new wave', 'new wave pop']"
10,1961,31,Alone At Last,Jackie Wilson,,0.311,0.031,0.9986,joy,Male,['jazz pop']
11,1961,32,Shop Around,"The Miracles (featuring Bill ""Smokey"" Robinson)",,0.24,0.028,0.9963,joy,,"['dance pop', 'hip hop', 'pittsburgh rap', 'pop rap', 'rap', 'southern hip hop', 'trap']"
12,1961,33,I Gotta Know,Elvis Presley With The Jordanaires,,0.143,0.08,0.9504,anticipation,,['slap house']
13,1961,34,Doll House,Donnie Brooks,,0.143,0.091,1.0,trust,Male,"['alt z', 'electropop', 'pop']"
14,1961,35,Stay,Maurice Williams & The Zodiacs,,0.017,0.029,-0.5821,anticipation,,['australian hip hop']
15,1961,36,Sad Mood,Sam Cooke,,,,,,Male,"['adult standards', 'brill building pop', 'classic soul', 'rock-and-roll', 'soul']"
16,1961,37,I Count The Tears,The Drifters,,0.05,0.081,-0.3612,sadness,,"['adult standards', 'brill building pop', 'bubblegum pop', 'mellow gold', 'motown', 'rock-and-roll', 'rockabilly', 'soul']"
17,1961,38,Calendar Girl,Neil Sedaka,,0.392,0.008,0.9993,joy,Male,"['adult standards', 'brill building pop', 'bubblegum pop', 'easy listening', 'lounge', 'mellow gold', 'rockabilly', 'soft rock']"
18,1961,39,Ballad Of The Alamo,Marty Robbins,,0.042,0.1,-0.9789,fear,Male,"['cowboy western', 'nashville sound']"
19,1961,40,I'm Hurtin',Roy Orbison,,0.135,0.162,-0.6412,fear,Male,"['adult standards', 'brill building pop', 'classic rock', 'mellow gold', 'rock-and-roll', 'rockabilly']"
0,1961,41,I'll Save The Last Dance For You,Damita Jo,,0.086,0.048,0.8029,joy,Female,[]
1,1961,42,You Are The Only One,Ricky Nelson,,0.122,0.018,0.9892,joy,Male,"['ccm', 'christian alternative rock', 'christian music', 'world worship', 'worship']"
2,1961,43,Gonzo,James Booker,,0.03,0.03,-0.0258,anger,Male,"['danish hip hop', 'danish pop']"
3,1961,44,Gee Whiz,The Innocents,,0.064,0.124,-0.9962,anger,,"['classic soul', 'memphis soul', 'motown', 'soul', 'southern soul']"
4,1961,45,The Hucklebuck,Chubby Checker,,0.082,0.019,0.9153,joy,Male,"['adult standards', 'brill building pop', 'bubblegum pop', 'rock-and-roll', 'rockabilly']"
5,1961,46,Bumble Bee,LaVern Baker,,0.206,0.15,0.9883,trust,Female,"['aesthetic rap', 'canadian hip hop', 'canadian trap', 'dark trap', 'ottawa rap', 'underground hip hop']"
6,1961,47,Dance By The Light Of The Moon,The Olympics,,0.064,0.046,0.0848,anticipation,,"['classic rock', 'folk', 'folk rock', 'mellow gold', 'permanent wave', 'rock', 'singer-songwriter', 'soft rock']"
7,1961,48,Am I Losing You,Jim Reeves,,0.084,0.209,-0.9859,anger,Male,"['adult standards', 'nashville sound', 'rock-and-roll']"
8,1961,50,Once In Awhile,The Chimes,,0.097,0.045,0.9903,joy,,[]
9,1961,51,Christmas Auld Lang Syne,Bobby Darin,,0.26,0.0,0.9871,joy,Male,[]
10,1961,52,"Let's Go, Let's Go, Let's Go",Hank Ballard And The Midnighters,,0.114,0.012,0.9716,joy,,"['doo-wop', 'rhythm and blues', 'rock-and-roll']"
11,1961,53,Like Strangers,The Everly Brothers,,0.422,0.105,0.9911,joy,,"['alt z', 'dance pop', 'electropop', 'pop', 'post-teen pop', 'social media pop']"
12,1961,54,A Perfect Love,Frankie Avalon,,0.482,0.062,0.9993,joy,Male,[]
13,1961,55,Last Date,Lawrence Welk And His Orchestra,,0.163,0.183,-0.1047,joy,,"['easy listening', 'honky-tonk piano', 'nashville sound']"
14,1961,56,The Puppet Song,Frankie Avalon,,0.106,0.083,0.5614,sadness,Male,"['antiviral pop', 'minecraft', 'otacore']"
15,1961,57,My Last Date (With You),Skeeter Davis,,0.125,0.108,0.4134,joy,Female,"['brill building pop', 'nashville sound']"
16,1961,58,The Magnificent Seven,Al Caiola And His Orchestra,,0.155,0.058,0.9964,anticipation,,"['classic rock', 'permanent wave', 'punk', 'rock']"
17,1961,60,Lovey Dovey,Buddy Knox,,0.199,0.14,0.9901,joy,Male,"['classic soul', 'motown', 'soul']"
0,1961,61,There She Goes,Jerry Wallace,,0.0,0.068,-0.7383,trust,Male,['britpop']
1,1961,62,The Hoochi Coochi Coo,Hank Ballard And The Midnighters,,0.101,0.029,0.875,trust,,"['dance pop', 'pop']"
2,1961,63,Your Other Love,The Flamingos,,0.502,0.037,0.9969,joy,,"['adult standards', 'easy listening', 'lounge']"
3,1961,64,How To Handle A Woman,Johnny Mathis,,0.388,0.031,0.9952,joy,Male,[]
4,1961,65,Ol' Mac Donald,Frank Sinatra,,0.039,0.009,0.783,anticipation,Male,"['adult standards', 'easy listening', 'lounge']"
5,1961,67,Save The Last Dance For Me,The Drifters,,0.212,0.05,0.9926,joy,,"['adult standards', 'canadian pop', 'jazz pop', 'lounge']"
6,1961,68,You Don't Want My Love,Andy Williams,,0.083,0.201,-0.9952,joy,Male,"['alternative country', 'country rock', 'folk', 'folk rock', 'mellow gold', 'new americana', 'roots rock', 'singer-songwriter']"
7,1961,69,My Last Date (With You),Joni James,,0.125,0.108,0.4134,joy,Female,"['brill building pop', 'nashville sound']"
8,1961,70,Cherry Pink And Apple Blossom White,Jerry Murad's Harmonicats,,0.125,0.0,0.9423,joy,,"['mambo', 'space age pop']"
9,1961,71,Happy Days,Marv Johnson,,0.11,0.076,0.9728,joy,Male,"['pop punk', 'punk', 'rock', 'socal pop punk']"
10,1961,72,C'est Si Bon (It's So Good),Conway Twitty,,0.291,0.0,0.9864,anticipation,Male,[]
11,1961,73,Walk Slow,Little Willie John,,0.095,0.238,-0.9989,fear,Male,"['chillwave', 'vaporwave']"
12,1961,74,Pepe,Duane Eddy His Twangy Guitar And The Rebels,,0.022,0.008,0.9699,anger,,"['latin talent show', 'mariachi', 'ranchera']"
13,1961,75,Mister Livingston,Larry Verne,,0.165,0.052,0.9925,fear,Male,"['classic soundtrack', 'lounge', 'vintage italian soundtrack']"
14,1961,76,We Have Love,Dinah Washington,,0.331,0.037,0.9987,joy,Female,['traditional funk']
15,1961,77,Angel On My Shoulder,Shelby Flint,,0.426,0.0,0.999,joy,Female,"['edm', 'electro house', 'pop', 'pop dance', 'progressive house', 'vocal house']"
16,1961,78,Spoonful,Etta & Harvey,,0.162,0.119,0.8885,joy,,"['blues', 'blues rock', 'chicago blues', 'classic rock', 'delta blues', 'harmonica blues', 'memphis blues', 'traditional blues']"
17,1961,79,Utopia,Frank Gari,,0.04,0.0,0.9161,joy,,"['k-pop', 'k-pop boy group']"
18,1961,80,Make Someone Happy,Perry Como,,0.337,0.0,0.9907,joy,Male,"['adult standards', 'easy listening', 'lounge', 'swing', 'vocal jazz']"
0,1961,81,Milk Cow Blues,Ricky Nelson,,0.192,0.054,0.9867,joy,Male,"['country rock', 'texas country']"
1,1961,82,I Idolize You,Ike & Tina Turner,,0.245,0.0,0.9341,joy,Male,['dark electro']
2,1961,83,Emotions,Brenda Lee,,0.105,0.179,-0.9915,fear,Female,"['melodic rap', 'pop rap']"
3,1961,84,What Would I Do,Mickey & Sylvia,,0.082,0.151,-0.9791,joy,,"['acoustic pop', 'indie folk', 'indiecoustica', 'neo mellow', 'new americana', 'stomp and holler']"
4,1961,85,"Yes, I'm Lonesome Tonight",Thelma Carpenter,,0.215,0.113,0.9819,sadness,Female,['deep adult standards']
5,1961,86,Spanish Harlem,Ben E. King,,0.041,0.045,-0.2617,sadness,Male,"['adult standards', 'brill building pop', 'motown', 'rock-and-roll', 'soul', 'southern soul']"
6,1961,87,"Oh, How I Miss You Tonight",Jeanne Black,,0.095,0.166,-0.128,sadness,Female,"['carnaval limburg', 'classic belgian pop', 'levenslied', 'nederpop']"
7,1961,88,There's A Moon Out Tonight,The Capris,,0.051,0.023,0.6124,joy,,"['doo-wop', 'rhythm and blues']"
8,1961,89,Wabash Blues,The Viscounts,,0.063,0.213,-0.7506,sadness,,['space age pop']
9,1961,90,First Taste Of Love,Ben E. King,,0.275,0.048,0.9966,joy,Male,"['adult standards', 'brill building pop', 'motown', 'rock-and-roll', 'soul', 'southern soul']"
10,1961,91,If I Knew,Nat King Cole,,0.135,0.038,0.9718,joy,Male,"['dance pop', 'pop']"
11,1961,92,All In My Mind,Maxine Brown,,0.048,0.109,-0.9551,fear,Female,['chillhop']
12,1961,93,Talk To Me Baby,Annette With The Afterbeats,,0.264,0.014,0.9874,joy,,"['blues', 'blues rock', 'chicago blues', 'delta blues', 'electric blues', 'rock-and-roll', 'traditional blues']"
13,1961,94,"Don't Believe Him, Donna",Lenny Miles,,0.069,0.127,-0.998,sadness,,"['doo-wop', 'rhythm and blues']"
14,1961,95,Don't Read The Letter,Patti Page,,0.11,0.197,-0.9993,sadness,Female,"['pop', 'pop rap']"
15,1961,96,I Don't Want Nobody (To Have My Love But You),Ella Johnson With Buddy Johnson,,0.298,0.0,0.9955,joy,,"['classic country pop', 'country', 'country rock', 'nashville sound']"
16,1961,97,Oh Lonesome Me,Johnny Cash With The Gene Lowery Singers,,0.161,0.164,0.5566,sadness,,"['nashville sound', 'rock-and-roll', 'rockabilly']"
