,year,rank,song,artist,gender,nltk_positive,nltk_negative,nltk_score,nltk_top_emotion,Gender,genres
5,2013,87,Turn On The Lights,Future,,0.103,0.02,0.992,trust,Male,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
6,2013,88,Stubborn Love,The Lumineers,,0.281,0.066,0.9979,joy,Male,"['folk-pop', 'modern rock', 'pop', 'pop rock', 'stomp and holler']"
7,2013,89,Merry Go 'round,Kacey Musgraves,,0.251,0.068,0.9993,joy,Female,"['contemporary country', 'country dawn', 'pop', 'texas country']"
8,2013,90,The One That Got Away,Jake Owen,,0.032,0.043,-0.1655,anticipation,Male,"['dance pop', 'pop', 'post-teen pop']"
9,2013,91,Who Booty,Jonn Hart Featuring IamSU!,,0.088,0.063,0.9157,anger,,"['pop r&b', 'pop rap', 'slow game']"
10,2013,92,Take A Walk,Passion Pit,,0.078,0.111,-0.9448,joy,,"['alternative dance', 'indie pop', 'indie rock', 'indietronica', 'modern alternative rock', 'modern rock', 'pop rock', 'shimmer pop']"
11,2013,93,Tip It On Back,Dierks Bentley,,0.09,0.04,0.9091,trust,Male,"['contemporary country', 'country', 'country road']"
12,2013,94,Ready Or Not,Bridgit Mendler,,0.17,0.083,0.9918,fear,Female,"['dance pop', 'pop', 'post-teen pop', 'social media pop']"
13,2013,95,King Wizard,Kid Cudi,,0.091,0.159,-0.9902,anger,Male,"['hip hop', 'ohio hip hop', 'pop rap', 'rap']"
14,2013,96,Ice,Kelly Rowland Featuring Lil Wayne,,0.085,0.182,-0.9993,anger,,"['hip house', 'miami hip hop']"
15,2013,97,Young & Gettin' It,Meek Mill Featuring Kirko Bangz,,0.081,0.138,-0.9949,anticipation,,"['hip hop', 'philly rap', 'pop rap', 'rap', 'southern hip hop', 'trap']"
16,2013,98,Representin',Ludacris Featuring Kelly Rowland,,0.174,0.028,0.9985,anticipation,,"['atl hip hop', 'dirty south rap', 'hip hop', 'old school atlanta hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
17,2013,99,C'mon,Ke$ha,,0.14,0.087,0.9922,anticipation,,['vapor trap']
18,2013,100,Crying On A Suitcase,Casey James,,0.081,0.11,-0.8648,sadness,Male,['idol']
19,2014,1,The Monster,Eminem Featuring Rihanna,,0.156,0.108,0.9915,fear,,"['detroit hip hop', 'hip hop', 'rap']"
0,2014,2,Timber,Pitbull Featuring Ke$ha,,0.255,0.02,0.9999,joy,,"['dance pop', 'latin', 'miami hip hop', 'pop', 'pop rap']"
1,2014,3,Counting Stars,OneRepublic,,0.075,0.14,-0.9867,anger,Male,"['dance pop', 'piano rock', 'pop', 'pop rock']"
2,2014,4,Say Something,A Great Big World & Christina Aguilera,,0.273,0.012,0.9952,joy,,"['indiecoustica', 'modern rock', 'neo mellow', 'piano rock', 'pop', 'pop rock', 'viral pop']"
3,2014,5,Royals,Lorde,,0.139,0.057,0.9919,trust,Female,"['art pop', 'electropop', 'metropopolis', 'nz pop', 'pop']"
